"","COS7OA_3","COS7OA_2","COS7OA_1","COSOADGAT1i_3","COSOADGAT1i_2","COSOADGAT1i_1"
"Cer(t42:1+O)",481121.2392,150974.3565,297370.5531,4537744.339,80968.2681,65028.645
"Cer(t18:0_26:0)",2600775.842,1878593.379,1951517.847,20600000,2592752.357,2098513.949
"Cer(t44:0+O)",1834944.55,1118400.863,1466826.601,47100000,3569069.438,1028764.126
"Cer(t18:1_26:0)",24658.706,38340.7173,41155.8096,5696668.334,77451.822,54178.5006
"Cer(t18:0_26:1)",167878.6494,50712.1101,56715.4164,918828.0585,110449.1397,95980.6113
"Cer(t18:0_26:2)",98714.811,17512.6707,3318.27318,4064055.185,30102.783,16591.3659
"Cer(t20:0_26:0)",1621597.789,2196870.105,2318169.143,2906012.723,2190972.383,2030374.828
"Hex1Cer(d34:0)",9531965.832,8745644.605,5031030.803,35300000,19900000,36800000
"Hex1Cer(d18:2_16:0)",6089004.785,5169981.774,3013509.584,14300000,6017703.95,12500000
"Hex1Cer(d34:2)",1286642.782,1157577.333,871433.023,5745842.15,2878454.365,4967645.632
"Hex1Cer(d36:2+O)",114410.265,129294.4248,617715.872,10700000,571532.765,121464.308
"Hex1Cer(d38:1)",4774931.906,3861113.41,2552215.67,10500000,6153486.384,9942807.176
"Hex1Cer(d38:2)",378619.147,816787.609,75723.8294,5699591.051,2137888.641,4757833.907
"Hex1Cer(d40:1+O)",23100000,20600000,11900000,14400000,6075682.345,1.8e+07
"Hex1Cer(d40:2)",3468587.125,2866805.919,1932104.327,5423064.187,2306938.83,4464284.211
"Hex1Cer(d40:3)",124394.6808,346158.6852,386462.0604,36851.3124,104221.3188,721344.153
"Hex1Cer(d42:1+O)",16800000,11300000,6907415.406,15400000,5698053.469,9523746.598
"Hex1Cer(d42:4)",1084804.101,908258.831,444011.052,3702796.304,1417769.095,2885565.136
"Hex1Cer(d42:5)",121236.876,228091.475,352367.574,13500000,5525829.743,1.2e+07
"Hex1Cer(d42:6)",12688.0962,12688.0962,63440.481,10300000,3550037.353,8974345.36
"Hex1Cer(d44:1)",2343007.74,2312545.386,1543911.072,4111606.933,1897556.831,3269839.165
"Hex1Cer(d44:3)",8845473.288,7087487.322,4419618.6,13100000,2546309.302,6043697.238
"Hex1Cer(t34:0)",2335735.537,1753333.464,1032666.628,4783193.585,2538721.654,4981332.846
"Hex1Cer(t34:1)",1945486.29,1773220.813,1054355.362,3081274.006,998885.0898,2339053.921
"Hex1Cer(t42:2)",155640.2937,411515.24,477029.766,12900000,402763.762,129295.5582
"Hex2Cer(d28:0)",8240362.168,8772011.529,3756526.408,10600000,5039088.318,9369189.605
"Hex2Cer(d30:1)",56900000,52200000,31100000,62300000,25700000,55800000
"Hex2Cer(d32:2)",1.53e+08,1.28e+08,80100000,3.19e+08,1.53e+08,2.86e+08
"Hex2Cer(d34:0)",8544200.987,7422666.604,3553857.718,16300000,9873711.92,18900000
"Hex2Cer(d14:1_20:4)",2446028.882,2274239.156,1351539.676,7916734.949,3266725.153,6459634.47
"Hex2Cer(d36:2)",24100000,21900000,13300000,68400000,35700000,62800000
"Hex2Cer(d38:1)",4139822.891,3822080.488,2091565.881,5800492.23,2997673.219,5936235.114
"Hex2Cer(d38:2)",1983314.659,1752778.613,1053191.984,4399928.646,2270771.286,5522433.111
"Hex2Cer(d42:5)",3080876.101,2235735.23,1579253.592,22300000,11100000,20400000
"Hex2Cer(d42:6)",2021872.471,1362094.478,558646.35,19200000,8166822.111,16400000
"Hex2Cer(d44:1)",2214611.323,2012918.574,1215878.128,2896958.911,1216565.472,2111506.535
"Hex2Cer(d44:2)",9242663.548,8438347.419,4850835.615,12500000,4031028.227,7355440.764
"Hex2Cer(d44:3)",1.1e+07,8995438.338,5128087.253,9454348.418,2647365.786,6241569.523
"Hex2Cer(d44:5)",1716048.103,1504052.573,858300.94,5563697.768,2525130.546,5064942.845
"Hex2Cer(d44:6)",2545887.064,2178537.538,1286816.362,9729125.071,4024839.583,8889559.468
"Hex2Cer(m34:0+O)",8544200.987,7422666.604,3553857.718,16300000,9589711.331,18900000
"Hex2Cer(m36:1)",5721208.934,860375.2575,311318.8356,7083379.261,4275090.833,502730.5596
"Hex2Cer(m40:0+O)",2027595.591,1373055.523,1111764.822,4464299.467,1611062.906,2371914.066
"Hex2Cer(m42:0+O)",1214096.472,1149533.663,929721.016,2101114.471,922998.862,1543869.698
"Hex3Cer(d42:2)",5547210.287,4624388.043,2777397.461,4054381.796,1615301.729,3303250.955
"Hex3Cer(m42:4)",12230.333,4677.506,935.5012,935.5012,935.5012,5042.02
"LPE(16:1e)",3794483.105,3314493.505,1744984.123,3176506.86,1540562.411,2965521.393
"LPE(20:3)",1223416.306,938877.99,3714.1548,1225845.075,433455.444,1505993.774
"LPE(20:5)",3314195.851,2927832.743,1400551.999,4456356.95,1608246.827,4559733.894
"LPG(16:0)",3595.4055,14874.427,19704.449,83681.5875,8587.7952,14657.421
"PC(16:0e_14:0)",17800000,15500000,9318470.849,14100000,7990629.323,1.4e+07
"PC(16:1_14:0)",25200000,19700000,13100000,21400000,10900000,20900000
"PC(16:1e_14:0)",10600000,8924307.424,6598203.788,9791280.849,2152336.453,9580305.92
"PC(16:0e_16:0)",79500000,69800000,43300000,6.9e+07,38700000,71200000
"PC(16:0e_16:1)",881514.6207,650693.0607,14300000,3033285.494,956706.7968,3835804.806
"PC(16:1e_16:0)",75600000,64600000,42700000,66100000,32500000,68700000
"PC(18:0e_16:0)",25300000,21700000,12400000,34600000,12600000,23700000
"PC(16:0e_18:1)",2.73e+08,2.32e+08,1.35e+08,2.61e+08,1.19e+08,2.35e+08
"PC(16:1e_18:1)",1.66e+08,1.54e+08,8e+07,2.28e+08,82600000,1.93e+08
"PC(16:0_20:1)",2.2e+07,50700000,31800000,10800000,5941785.834,12200000
"PC(18:0e_18:1)",14700000,1.2e+07,6319876.13,22900000,6021460.544,13800000
"PC(18:2e_18:1)",42200000,37700000,2.2e+07,64900000,20600000,48600000
"PC(16:0e_20:4)",51600000,41700000,21300000,28900000,1.3e+07,27300000
"PC(16:1e_20:4)",89400000,80800000,52600000,79100000,29100000,67300000
"PC(16:0_22:1)",2987980.292,2951599.196,1719412.77,602674.4193,596956.7598,1610554.907
"PC(18:1_20:2)",75200000,63300000,39100000,8.8e+07,41800000,80500000
"PC(18:0_20:3)",35500000,33700000,2e+07,36500000,15700000,37100000
"PC(16:0_22:3)",1422629.461,1384816.254,1102021.196,1507259.771,711159.754,1188951.894
"PC(18:2e_20:4)",84400000,73500000,44600000,73100000,2.7e+07,64200000
"PC(16:1e_22:5)",1.3e+07,11700000,5055110.494,6555961.185,2442985.765,8169384.65
"PC(16:1e_22:6)",20300000,23300000,10900000,1.3e+07,1314490.441,11400000
"PC(20:0e_20:4)",14300000,11200000,7260371.203,21600000,4393515.945,1e+07
"PC(18:1_22:5)",79800000,70900000,40100000,1.39e+08,67600000,1.32e+08
"PC(18:1_24:1)",25800000,25200000,13900000,12200000,4486866.874,10200000
"PE(16:0_14:0)",4643529.322,4677647.64,3220874.538,3020509.595,2153497.881,4260377.043
"PE(16:1e_16:0)",18600000,15800000,11100000,1.3e+07,9488349.554,18500000
"PE(14:1e_18:1)",7423737.566,7167083.778,5218363.652,8873025.25,437827.3902,9615363.59
"PE(34:0e)",1223283.714,1089476.709,902868.003,1374161.683,761017.959,1313848.731
"PE(16:0e_18:1)",1.7e+07,14100000,8533642.929,8404589.934,6337163.24,14900000
"PE(18:1e_16:0)",10600000,9353212.767,7447349.59,9719160.44,6914014.987,11400000
"PE(16:1e_18:1)",1.68e+08,1.53e+08,1.1e+08,1.48e+08,75400000,1.79e+08
"PE(16:1e_18:2)",9053909.058,7018463.112,5777204.183,8911237.109,2515699.809,8330380.437
"PE(14:1e_20:4)",3696295.056,3617572.657,2001669.911,3924563.07,1551626.183,3662759.661
"PE(20:1e_16:0)",4067079.083,3037211.884,3380941.406,2808296.275,3252588.994,3857054.748
"PE(36:2e)",146266.4532,245899.2267,232764.8739,241163.223,124649.7132,349455.3219
"PE(18:2e_18:1)",1.65e+08,1.43e+08,84400000,1.15e+08,48600000,1.22e+08
"PE(18:1e_18:2)",8820663.89,7316925.269,4456567.819,6508134.633,2246870.583,5727629.724
"PE(18:1_18:3)",2304364.199,2101359.468,1533673.011,657455.5119,207237.099,1098145.001
"PE(18:2e_18:2)",7878664.038,406851.8322,5888857.681,6282081.014,1850178.003,8280655.385
"PE(16:1e_20:3)",1.3e+07,11100000,8574454.843,1.4e+07,5300385.477,11900000
"PE(16:1_20:4)",2118228.336,1712673.28,1011163.271,2393843.494,910315.19,1843164.219
"PE(16:0_20:5)",10100000,8626010.875,4851934.145,11100000,4755025.992,11200000
"PE(16:2e_20:4)",3911944.775,3510185.118,2225818.355,5060012.463,1512025.092,3046089.478
"PE(16:1e_20:5)",41400000,37600000,23400000,4.3e+07,17500000,41300000
"PE(36:7e)",1646219.6,1322930.673,758332.909,1069941.368,275160.599,1023332.558
"PE(20:1e_18:1)",6253076.241,5554315.552,3966766.036,6011049.944,3418763.779,9088606.02
"PE(18:2e_20:1)",10500000,8999126.708,5472483.342,6060952.901,1905446.979,5741140.581
"PE(16:0_22:4)",19600000,17400000,10600000,20200000,13300000,29400000
"PE(18:0e_20:4)",10700000,6483067.623,5683945.205,8241304.738,3725507.532,8169935.853
"PE(16:1e_22:3)",10700000,10100000,6167058.648,9711635.483,4747394.468,10200000
"PE(38:4e)",1455937.71,1194878.963,815410.194,1258307.962,469640.108,1283445.604
"PE(18:1e_20:4)",1.83e+08,1.77e+08,1.1e+08,1.63e+08,6.3e+07,1.61e+08
"PE(18:2_20:4)",5683738.147,4591906.432,2830189.668,5581191.027,2121010.605,4115509.424
"PE(18:2e_20:4)",5.79e+08,5.29e+08,3.56e+08,4.64e+08,2.07e+08,4.84e+08
"PE(18:1e_20:5)",16200000,16100000,9458342.081,20100000,9548126.184,22100000
"PE(16:1_22:6)",2568326.068,2541858.263,900225.797,1697450.744,870290.652,1588085.486
"PE(18:2e_20:5)",24500000,21400000,16700000,28200000,10300000,26400000
"PE(16:1e_22:6)",1.63e+08,1.33e+08,89700000,1.02e+08,40500000,95900000
"PE(38:8e)",1209031.859,1222322.249,287784.1983,480185.1699,57556.83966,57556.83966
"PE(18:1_22:0)",3119495.172,2975038.144,1719412.77,39192.7302,750818.5098,80516.3721
"PE(40:3e)",3002148.514,2920149.629,1562020.003,2982681.427,979276.652,1406183.659
"PE(18:1_22:3)",14100000,3101026.226,5083853.592,10600000,6320604.523,11400000
"PE(40:4e)",4045184.277,3342647.777,2311269.617,7309700.879,1330981.016,2950071.855
"PE(18:1e_22:3)",2929670.88,2691958.198,1500696.222,4411475.675,930353.754,2924252.625
"PE(18:2e_22:3)",1.4e+07,13200000,7801779.985,1.2e+07,4708306.145,1.3e+07
"PE(18:1e_22:4)",26300000,25800000,13900000,26700000,10200000,26100000
"PE(20:1e_20:4)",35400000,32800000,20800000,40600000,12500000,33400000
"PE(18:2e_22:4)",68600000,5.9e+07,31300000,46900000,17300000,47700000
"PE(22:5_18:2)",2574974.538,2321686.502,1321599.984,2723730.608,1339740.385,3055428.051
"PE(20:3_20:4)",441084.9963,779463.8373,745713.597,2597265.319,709415.593,1529810.255
"PE(18:2e_22:5)",2.24e+08,2.02e+08,1.17e+08,1.66e+08,66100000,1.55e+08
"PE(18:1e_22:6)",65800000,60400000,33800000,40900000,15800000,39600000
"PE(18:2e_22:6)",1.96e+08,1.79e+08,96900000,77700000,29200000,72600000
"PE(20:4_22:6)",4684787.309,4628161.6,2738114.907,7431724.84,2674911.539,6061077.277
"PE(18:1_24:1)",37900000,32500000,23800000,7235582.752,5697051.268,11300000
"PE(18:1_24:2)",8434128.674,8946803.823,4631299.421,2913573.57,2402812.39,3119156.935
"PE(20:3_22:1)",1511133.056,1018858.94,677978.9082,225970.4982,205104.7284,230794.65
"PE(22:0_20:4)",3713350.468,2579047.079,1939610.299,4574699.159,1260863.066,3829366.683
"PE(20:1_22:4)",6260267.158,5498813.728,3236082.344,7845386.666,3869032.047,8656996.999
"PE(20:1_22:5)",8761778.782,7019061.465,4803424.305,10300000,10300000,9863579.361
"PE(20:1e_22:5)",2892007.845,2524973.997,1854958.783,10700000,3031870.076,8513275.229
"PE(20:1e_22:6)",10400000,9120734.254,5091771.126,7110497.056,2307314.816,6018468.211
"PE(20:3_22:5)",32099.9109,62126.7204,50374.1667,2075167.2,760267.495,2369276.03
"PE(22:5_20:4)",1426800.419,1312424.629,705088.069,1867415.26,846171.278,1966796.442
"PE(20:3_22:6)",1046291.05,1101716.597,611566.436,4460943.9,1605098.069,3835127.315
"PE(22:6_22:6)",454825.302,374957.868,168734.689,924235.189,391163.857,680685.5688
"PE(26:1_18:1)",3755008.811,3244344.571,2311043.72,411960.84,803213.104,1849010.145
"PE(24:0_20:4)",1727480.326,1995352.971,992786.844,1141777.282,745202.313,1916079.159
"PE(24:1_20:4)",3391588.338,3084398.22,2054463.1,3591908.825,1368386.298,2372467.913
"PE(22:1_22:5)",5407038.911,4635561.049,2316589.018,1911234.576,812211.072,1925630.143
