Metabolites,D0_1,D0_2,D0_3,D2_1,D2_2,D2_3,D4_1,D4_2,D4_3,D6_1,D6_2,D6_3,D8_1,D8_2,D8_3,D10_1,D10_2,D10_3
IMP,77712.07033,50169.28716,39937.48486,65315.78532,85928.21724,95199.35086,193243.2373,123036.6856,145592.4704,281495.9096,231686.6035,160317.4933,422538.7645,352019.2917,115685.4297,327154.0761,257475.1531,217687.9616
S-adenosyl-L-methioninamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GMP,75510.51831,63746.43594,45153.62815,79027.79641,487163.624,371406.4517,215944.993,225371.0161,157652.0771,298841.534,339551.7734,230017.6132,657339.148,913125.4672,281454.8414,788054.6399,694125.0585,636494.8156
xanthosine-5-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
riboflavin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S-adenosyl-L-homoCysteine-posi,N/A,N/A,N/A,N/A,10106.2078,N/A,17987.76351,N/A,N/A,28791.94419,29246.98795,10995.0085,N/A,N/A,14627.72215,24396.495,16515.61817,47880.12093
S-adenosyl-L-methionine,574864.0645,392514.7928,360141.6121,365322.3815,716681.72,623913.1582,403440.0672,210318.9531,615767.4677,831883.9663,762453.9993,559870.339,634152.2819,591571.3745,407042.247,901165.5773,788514.6747,273758.3483
folate,32581.06385,18349.55955,26654.41544,57937.58279,82975.68032,146908.6269,91335.92226,118630.1594,172292.7748,60538.27815,49873.72439,22480.424,71918.03341,44299.28959,24395.24741,112981.4872,141728.1543,120834.6019
"7,8-dihydrofolate",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5-methyl-THF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5493.896667,N/A,N/A,N/A
Diiodothyronine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
glutathione disulfide-posi,696150.1154,497573.4372,553767.6723,450957.7666,324592.4548,404222.084,449123.7008,422091.5287,493279.333,515954.1603,512558.9245,334091.3157,677285.1604,562549.5631,290418.4443,632452.22,826919.193,675443.1352
NAD+_posi,1389110.237,1263828.525,1172592.751,1547516.459,1378815.645,1411389.794,1692833.104,1941574.836,1770625.447,2364234.582,2008208.821,1646854.184,2338825.683,2432995.816,1419454.797,2203631.689,2564058.363,2176195.237
NADH,12585.53567,11599.45447,22831.12313,N/A,10675.2453,31062.60268,8532.640907,21267.933,15743.805,26722.3519,42447.22178,21000.19247,18594.19962,21210.53824,N/A,21253.17384,20018.42916,N/A
dephospho-CoA-posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NADP+_posi,49897.67794,15359.33718,31992.87837,66318.96798,53906.82102,76062.09663,66415.69223,71466.25263,162981.7665,73244.4867,90841.95127,82570.70768,141147.1782,71595.60681,6635.793716,86431.05861,121495.6785,65690.72349
NADPH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
coenzyme A-posi,N/A,N/A,N/A,15507.98371,12913.174,6912.214396,15743.805,11807.4015,16094.73115,22501.70185,34843.58397,13258.82227,27676.37037,16646.39977,4622.126762,21349.72083,14864.42493,9126.127165
