LipidIon,D0_1,D0_2,D0_3,D4_1,D4_2,D4_3
PC(20:3_22:1),17500000,33600000,22200000,35200000,23500000,24700000
PC(20:4e_18:0),7.50E+07,1.66E+08,1.52E+08,4.80E+08,4.48E+08,3.96E+08
PC(22:5_20:4),2287550.634,4151778.91,1584085.143,5726086.531,6322195.984,5551469.962
PC(24:1_18:2),1144391.373,9906697.796,4268030.896,16200000,12900000,16300000
PC(26:2e),2209865.011,1901720.294,781203.5532,11700000,6857657.998,9566959.939
PC(28:0),4.52E+08,6.08E+08,6.95E+08,5.48E+08,6.70E+08,4.86E+08
PC(28:2),6687891.892,13200000,13500000,1694823.221,1588285.33,1606156.146
PC(30:0),8.07E+09,1.22E+10,1.38E+10,1.34E+10,1.40E+10,1.38E+10
PC(30:0e),1.61E+08,1.19E+08,1.69E+08,3.79E+08,3.57E+08,3.39E+08
PC(30:2),93900000,1.06E+08,1.24E+08,66600000,82400000,68600000
PC(30:3),11300000,6493628.57,7447724.804,21600000,17500000,16900000
PC(32:0),1.99E+10,2.59E+10,2.64E+10,3.45E+10,3.43E+10,3.10E+10
PC(32:0e),5.61E+08,1.02E+09,1.20E+09,1.88E+09,1.64E+09,1.59E+09
PC(32:1),3.40E+10,5.10E+10,5.70E+10,8.36E+10,8.22E+10,8.22E+10
PC(32:1e),1.02E+09,5.37E+08,2.11E+09,2.48E+09,2.35E+09,2.12E+09
PC(32:3),2.75E+08,3.73E+08,4.33E+08,5.53E+08,5.67E+08,4.90E+08
PC(34:0e),33900000,64800000,52900000,2.58E+08,2.41E+08,9.00E+07
PC(34:1),4.87E+10,6.78E+10,7.11E+10,8.35E+10,8.38E+10,8.10E+10
PC(34:1e),3.90E+09,7.57E+09,9.13E+09,1.18E+10,1.00E+10,9.71E+09
