"LPE(20:4)",4.89e+08,6.09e+08,4.39e+08,5.82e+08,4.88e+08,5.55e+08,4.57e+08,4.08e+08,5.77e+08,4.22e+08,"LPE(20:4)","LPE"
"LPG(18:2)",1.11e+08,1.17e+08,1.19e+08,1.16e+08,8.2e+07,1.69e+08,1.82e+08,1.03e+08,1.33e+08,1.01e+08,"LPG(18:2)","LPG"
"LPG(20:2)",2902546.43,1970503.993,2833867.667,3034256.885,2060668.559,8610213.395,4470536.283,2762795.657,4822699.854,4729144.136,"LPG(20:2)","LPG"
"LPG(20:3)",4462575.975,3293812.057,5011527.535,4319261.332,3038749.247,9455190.298,8645957.92,5779768.361,6231498.489,4931526.921,"LPG(20:3)","LPG"
"LPG(20:4)",15200000,17200000,18300000,17200000,12900000,47500000,71300000,27100000,41900000,33400000,"LPG(20:4)","LPG"
"LPG(20:5)",1036991.621,927791.477,491160.302,648167.347,584178.171,1549528.667,3074654.321,1436790.345,2321404.046,2647395.497,"LPG(20:5)","LPG"
"LPG(22:4)",5696162.919,3987448.102,5113961.435,6009301.752,4603005.612,14700000,13700000,8555969.808,10300000,9229938.377,"LPG(22:4)","LPG"
"LPG(22:6)",26900000,34300000,42600000,31300000,22900000,1.24e+08,1.35e+08,93700000,95700000,82100000,"LPG(22:6)","LPG"
"LPI(16:0)",4174599.71,2686706.391,3584669.11,4793792.596,2855807.166,2259960.488,2122320.003,1053531.827,2232592.861,3543270.498,"LPI(16:0)","LPI"
"LPI(18:0)",30700000,28200000,28100000,34800000,28100000,25300000,24900000,13700000,23600000,36400000,"LPI(18:0)","LPI"
"LPI(18:1)",1743235.018,1709824.727,1796419.905,2858820.001,1582989.059,1453309.601,1845601.563,150281.824,914780.673,1606604.519,"LPI(18:1)","LPI"
"LPI(18:2)",8053095.366,7438446.307,7263464.376,11600000,5504886.108,4234359.834,6354618.674,4685992.855,9933971.491,13800000,"LPI(18:2)","LPI"
"LPI(20:3)",6580526.186,4990811.793,4892688.014,9823791.601,3519316.636,4806412.787,5237969.651,3574028.725,4615394.436,5749318.252,"LPI(20:3)","LPI"
"LPI(20:4)",1.09e+08,94600000,87100000,1.48e+08,80700000,1.19e+08,1.43e+08,87900000,1.43e+08,1.86e+08,"LPI(20:4)","LPI"
"LPI(20:5)",2161549.038,2087182.55,667224.321,2455842.643,1552661.648,418610.066,1571566.953,771154.919,2853428.776,2790778.302,"LPI(20:5)","LPI"
"LPI(22:6)",3401739.754,3422587.552,1774300.846,5329464.634,2941989.472,3545481.581,3276803.335,3212783.72,5394410.741,5645192.448,"LPI(22:6)","LPI"
"LPS(20:4)",3588484.084,4857331.496,5062020.847,6983340.083,5875177.41,9634097.368,7772102.069,6089337.791,8307260.005,3545321.816,"LPS(20:4)","LPS"
"LPS(22:6)",9492629.174,9882515.857,7951461.601,14500000,7223862.575,17800000,15500000,11300000,1.5e+07,13800000,"LPS(22:6)","LPS"
"MG(16:0)",50300000,65900000,63500000,51400000,57400000,8197904.18,1.1e+07,1.5e+07,5836311.135,19400000,"MG(16:0)","MG"
