,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,C,D,D,D,D,D,D
Metabolite name,10012020_ZLY_84NEG,10012020_ZLY_98NEG,092920_284ZLY_284NEG,092920_284ZLY_329NEG,092920_284ZLY_349MEG,092920_284ZLY_374NEG,092920_284ZLY_382NEG,092920_284ZLY_417NEG,092920_284ZLY_421NEG,092920_284ZLY_424NEG,092920_284ZLY_432NEG,092920_284ZLY_437NEG,092920_284ZLY_440NEG,092920_284ZLY_441NEG,092920_284ZLY_459NEG,092920_284ZLY_463NEG,09302020_ZLY_471NEG,09302020_ZLY_473NEG2,09302020_ZLY_475NEG3,09302020_ZLY_478NEG4,09302020_ZLY_QCNEG,092920_284ZLY_QC3NEG
DG 41:1,289401408,315716064,15798082,9743642,15660368,8085103,32997900,15824280,22758924,74250024,11508149,9267554,32274548,18329990,18557622,16905686,39349688,39760456,34402592,43776388,30410782,13994696
DG 41:1,186476320,214989408,12472967,46008444,97463088,47612592,58923880,92312696,52625060,56836256,31108604,59451140,23789154,67646112,64540852,34427516,12950948,11227161,11624876,12765760,16047992,27718976
DG 41:1,366227232,117517296,128551800,84890712,69823544,93978568,62594588,96189928,32760168,57798948,90995160,57899488,24552882,63022952,39927676,12224849,30933622,31438374,64815248,82440608,43130788,17698476
DG 41:1,74773552,52299064,18419676,42714100,11466663,11121975,12924442,138568288,204403872,162053232,213660576,211567616,176370912,198738336,159642528,61143752,15484821,16285356,99596304,89328536,31962210,192618384
DG 41:1,153013360,143712192,31686304,11988126,21757212,24858580,17679164,31006794,33669100,26365208,9897398,9623678,24089802,53685004,28492410,23237366,30992454,24926416,12199260,18248890,22424398,45860076
DG 41:1,40773188,23132110,1207064,29675360,44466492,91380176,167443552,315939776,313061792,179465296,331453568,363097920,362799456,343415456,320061152,124084976,40372952,21166296,31334320,53679400,33216322,254822752
DG 41:1,26905888,26230600,171170496,39417396,24438740,25856284,85014904,28623054,27419512,27059864,32271750,56002356,29793774,44946116,46700348,2430528,36228700,37781124,38164588,29707978,36023960,18828530
DG 41:1,57920640,85266168,1776860,87819072,269722400,14949741,167443552,315939776,82191680,59202160,331453568,64829064,59231332,63059016,58063528,15109357,40372952,108121608,20758764,20335660,144617152,38397328
DG 41:1,363044352,315936256,569156,20282088,23326944,16685640,196680336,247827904,242317104,185459424,280271200,231805168,233050944,259956240,242990112,135418608,24082738,37619224,24377674,25432642,23346840,215964800
DG 41:1,81022544,321068416,1180974,17695766,83866784,107634144,140481248,170458384,194931600,181216512,194471280,176681232,224199232,228276672,214821440,34634520,39170116,60693576,42096664,56028332,26124912,182184912
DG 41:1,109535112,100719032,30076822,101294760,241710800,70442824,40139000,50275548,48080364,15578353,53740164,39180900,43600048,43078648,25628408,88962688,47959232,80817360,47977652,76078304,66146676,41227832
DG 41:1,228508288,237544672,1391526,20386878,11669588,52239116,30721552,138826192,64706992,23667856,167948144,160673152,154701952,141918416,149030768,81034656,28511998,28116702,28355656,44359248,27153374,143019264
DG 41:1,35534324,78537176,28359910,56786720,147807520,11395372,18519742,20429752,34241588,32678992,29316580,48094004,35382228,35904720,93240864,39674016,47819528,144374672,15416272,15250042,47548352,34564940
DG 41:1,404898880,54519316,8010599,15385452,43028368,96235024,241621776,301067520,268214608,185217920,286823968,317390720,304809984,306419712,289392096,67336864,46455400,61009060,44392504,60122020,107902944,296331648
DG 41:1,45804952,47355024,27695606,34884960,41143388,90803520,157585312,302445152,358725088,164773232,382490272,289823392,299387040,280284928,244615072,89033952,135974784,41978312,139800544,61895688,38504392,251198304
DG 41:1,41803088,17917902,175450416,82977960,209001008,28418662,220485232,188325024,187769424,229291152,162959440,159248160,157217536,167527040,161535072,17919244,221800672,186304864,192192512,186230000,239275712,172389104
DG 41:1,303464288,346728384,111309072,73252544,341653632,39696328,309647072,328726848,340883680,420947680,279308128,406615744,337710496,400403680,214994896,21709524,358488736,373637312,336034368,439461312,392495136,274556320
