"lipidName","Aml.12_1","Aml.12_2","Aml.12_3","Aml.12_1i.1","Aml.12_1i.2","Aml.12_1i.3","Aml.12_1.2i.1","Aml.12_1.2i.2","Aml.12_1.2i.3","Aml.12_2i.1","Aml.12_2i.2","Aml.12_2i.3"
"TG 52:4|TG 18:1_18:1_16:2",5860000,3924000,4320000,4229000,2207000,4611000,669200,720300,712900,4172000,6858000,6706000
"TG 52:5|TG 14:0_18:1_20:4",1706000,2294000,2371000,1469000,1398000,1823000,284600,340900,318700,1323000,2542000,2246000
"TG 52:6|TG 14:0_18:1_20:5",349900,441700,551200,400800,347900,354500,80230,98040,85950,297300,631100,511900
"TG 52:7|TG 14:1_18:1_20:5",107000,88110,95290,69180,58900,71960,22050,9844,16050,39230,99600,79970
"TG 54:1|TG 16:0_20:0_18:1",2617000,3060000,3289000,2089000,1999000,2283000,335000,382100,365800,1763000,2987000,2600000
"TG 54:2|TG 18:0_18:1_18:1",11230000,15420000,15250000,9528000,9552000,10700000,1510000,1807000,1720000,8241000,14720000,13200000
"TG 54:3|TG 18:0_18:1_18:2",6106000,6797000,7033000,5383000,5015000,5526000,785500,881100,891800,4236000,6701000,5822000
"TG 54:3|TG 18:1_18:1_18:1",176100000,196500000,196200000,163500000,168100000,178400000,33080000,37840000,36130000,140700000,193600000,180100000
"TG 54:4|TG 18:1_18:1_18:2",21510000,24350000,26310000,17620000,17860000,21060000,2656000,2568000,159200,14910000,25170000,21950000
"TG 54:5|TG 18:1_18:1_18:3",6482000,7421000,7554000,5063000,4823000,6130000,1284000,1409000,1403000,5064000,8283000,7478000
"TG 54:6|TG 16:1_18:1_20:4",2367000,3645000,2681000,2207000,2367000,3235000,742000,821900,647800,1643000,3762000,3303000
"TG 54:7|TG 16:1_18:1_20:5",945500,1239000,1231000,799900,794900,1009000,183400,73190,223800,321500,1256000,600300
"TG 56:2|TG 18:0_18:1_20:1",3819000,4714000,4753000,2696000,2588000,2849000,429900,510400,457300,2475000,4452000,3713000
"TG 56:3|TG 18:1_18:1_20:1",13760000,18740000,18320000,9678000,9961000,10820000,1648000,1933000,1819000,9625000,18120000,15900000
"TG 56:4|TG 18:1_18:1_20:2",6390000,7315000,7840000,4319000,3704000,4430000,784500,879100,774600,4561000,6610000,6232000
"TG 56:5|TG 18:1_18:1_20:3",16340000,19360000,19580000,12320000,11750000,12750000,2023000,2219000,1963000,11160000,17900000,16080000
"TG 56:6|TG 18:1_18:1_20:4",18030000,22720000,22100000,19690000,21340000,24080000,5216000,6111000,6208000,13230000,21490000,19880000
"TG 56:7|TG 18:1_18:1_20:5",5570000,7559000,7610000,6564000,6906000,9267000,1325000,1544000,1786000,4273000,7387000,6998000
"TG 56:8|TG 16:1_18:1_22:6",1341000,1811000,1858000,1133000,1112000,1360000,251800,290500,287400,973500,1910000,1607000
"TG 56:9|TG 18:1_16:3_22:5",155300,199200,216600,140800,135600,176400,35890,17190,41460,114300,232200,196600
