Metabolite.name,Sample191,Sample197,Sample428,Sample433,Sample464,Sample270,Sample429,Sample430,Sample439
SM 42:8;3O,6939,715932,4565,972968,1748,40209,81757,48491,39442
SM 44:10;3O,39283,3924,22532,10220,136117,17387,21740,25687,8542
SM 44:2;2O|SM 18:1;2O/26:1,493535,465249,305660,851692,634041,185207,1325121,1205860,786055
SM 44:3;2O|SM 18:1;2O/26:2,661814,208712,14433,1399430,254071,112373,1878461,1654088,1280490
SM 44:3;2O|SM 18:2;2O/26:1,665092,81750,75545,252267,303415,26527,1892483,1952366,1324241
SM 44:4;2O,476524,1576354,13201,1598070,56590,61587,634230,618979,815742
SM 44:6;3O,407383,315230,24307,3306872,177649,479611,832699,387560,308901
SM 44:8;2O,8085,1957312,6251,40037,8215,2606,12634,69600,2921254
SM 44:9;2O,87771,150963,143063,13554,202480,64388,35732,120486,2359714
SM 46:10;3O,38174,16827,35773,3141,152203,26276,2043,11454,14442
SM 46:11;2O,1105,3067,72317,631,3910,14824,4276,15652,27446
SM 46:7;3O,154271,256506,88518,682046,9495,105855,53897,89667,81822
SM 46:8;3O,72400,108788,5637,70490,6675,46726,68296,40053,100386
SM 46:9;3O,37849,18742,2347,13404,8573,2126,16155,28579,42865
SM 48:11;2O,15623,9094,24629,7704,91289,47858,41098,27399,20820
SM 48:5;2O|SM 18:2;2O/30:3,2628614,55149,184180,19807,43738,74562,990875,2240419,1320517
SM 48:6;2O,82349,21033,13806,62276,13038,24915,44733,13573,26966
SM 48:6;2O|SM 18:3;2O/30:3,101867,36293,19081,28800,238667,70895,110361,207849,139805
SM 48:6;3O,41301,55230,4191206,324330,18723,139980,333508,113215,114643
SM 48:8;3O,151931,66949,5583,426525,4895,50213,167664,139714,173212
SM 50:11;2O,193,15102,1322530,2484,312,259354,67565,20777,1892
SM 50:13;2O,26472,18302,10967,130890,145754,43422,63842,59952,18429
SM 52:12;2O,NA,NA,2177684,NA,NA,NA,4376,15204,72003
SM 54:3;3O,146267,49634,32602,17121,79466,60167,62787,65123,286545
TG 24:0|TG 8:0_8:0_8:0,497217,763396,892261,1570023,545226,959513,590997,3328136,452140
TG 26:0|TG 8:0_8:0_10:0,39326,15088,2064133,108531,24768,99006,121475,458661,55482
TG 28:0|TG 8:0_10:0_10:0,33237,19839,888427,317950,14816,226990,156963,199154,13000
TG 28:0|TG 8:0_8:0_12:0,28773,10893,105191,47972,11382,35698,27909,1328199,3540
TG 30:0|TG 8:0_10:0_12:0,6490,536,33368,44325,601,13059,34894,2891512,143
TG 30:0|TG 8:0_8:0_14:0,15372,10069,188925,151916,22977,239050,8926,1770980,9500
