"","D0_1","D0_2","D0_3","D10_1","D10_2","D10_3"
"PS(20:1_18:1)",1.07e+08,51300000,46500000,4.06e+08,3.47e+08,3.36e+08
"PS(38:5e)",17700000,21900000,5718813.712,26700000,28800000,24200000
"PS(38:8)",303749.3514,303749.3514,303749.3514,2421013.659,1787600.571,1518746.757
"PS(20:1_22:6)",41600000,37700000,45400000,55500000,63700000,57900000
"PS(22:5_20:4)",2.5e+07,21300000,24200000,19100000,24700000,2.6e+07
"SM(d20:1_16:0)",5.64e+08,6.15e+08,7.24e+08,1.05e+09,1.29e+09,1.05e+09
"SM(d18:2_18:1)",36600000,57500000,59600000,72200000,85300000,6.6e+07
"SM(d20:1_18:1)",454597.962,454597.962,454597.962,9256037.547,2272989.81,4081875.164
"SM(d38:3)",7047487.702,12400000,10800000,1409497.5404,1409497.5404,1409497.5404
"SM(d18:1_24:0)",4.93e+08,1.49e+09,1.33e+09,1.51e+09,1.56e+09,1.39e+09
"SM(t40:3)",1799335.02,2132389.895,2424443.935,842856.724,109247.622,546238.11
"SPH(d14:1)",9838009.165,10300000,12100000,32900000,32700000,1.8e+07
"SPH(d16:1)",8263189.021,9808688.333,6883557.975,80500000,1.08e+08,54800000
"TG(4:0_14:0_14:0)",2508959.19,501791.838,501791.838,7933459.369,11300000,8607437.445
"TG(12:0e_6:0_20:3)",129989.505,4746677.245,4552384.811,13800000,16500000,21700000
"TG(16:0_8:0_16:0)",2832970.927,6131696.699,5551849.865,2.25e+08,1.94e+08,2.17e+08
"TG(12:0e_6:0_22:4)",49100000,806325.672,192898.3047,2381430.165,4254268.695,3456688.081
"TG(16:0_12:0_14:0)",5002749.427,7786385.857,10100000,2.95e+08,2.96e+08,3.1e+08
"TG(16:0e_14:0_16:0)",282862.0366,1835036.797,1414310.183,11600000,1.5e+07,16500000
"TG(16:0e_14:0_16:1)",2100000,10500000,11300000,28800000,29700000,37400000
"TG(16:0e_16:0_16:0)",653702.8418,3268514.209,3420597.492,31900000,48400000,48600000
"TG(16:0e_16:1_16:1)",3580000,17900000,18800000,1.11e+08,1.18e+08,1.14e+08
"TG(18:3e_16:0_16:0)",951707.7276,5250228.437,5117139.649,4758538.638,15500000,22700000
"TG(16:1_14:0_20:5)",587649.8748,2938249.374,3049250.413,4.15e+08,4.5e+08,4.57e+08
"TG(16:0e_14:0_22:5)",676133.8886,3380669.443,5341694.987,5826689.371,5134350.756,6318756.067
"TG(14:0e_18:3_20:3)",582833.255,5188580.225,5037996.624,582833.255,582833.255,2914166.275
"TG(16:1_14:0_22:6)",390437.244,2.5e+07,3.1e+07,3.6e+08,4.15e+08,4.24e+08
"TG(20:0e_16:0_18:1)",200802.42,1004012.1,2890227.639,18600000,23700000,23300000
"TG(16:0e_16:0_22:5)",3960000,19800000,32200000,69900000,81800000,77600000
"TG(16:0_16:0_22:6)",4299875.242,1.38e+08,1.84e+08,5.77e+08,7.49e+08,1.02e+09
"TG(16:0e_16:1_22:5)",4700000,24200000,23500000,73100000,5.7e+07,64400000
"TG(16:0_16:0_24:0)",523620.477,2932486.357,3420694.81,16600000,19600000,15200000
"TG(16:0_16:0_24:1)",4360000,21800000,29300000,1.86e+08,2.36e+08,1.71e+08
"TG(18:1e_18:1_20:1)",1336049.861,6680249.305,7606319.716,16500000,32900000,28900000
"TG(20:2e_18:1_18:1)",4780000,23900000,25800000,3.43e+08,3.37e+08,3e+08
"TG(16:0e_18:1_22:5)",12800000,6.4e+07,70100000,1.48e+08,1.29e+08,1.46e+08
"TG(16:0e_18:1_22:6)",563719.856,30600000,36300000,75700000,1.08e+08,99900000
"TG(18:0_16:0_24:1)",2520000,12600000,13400000,72500000,93200000,68500000
"TG(18:1e_16:0_24:1)",153268.8204,766344.102,2696753.069,16800000,21100000,20900000
"TG(18:1e_18:1_22:1)",647178.559,3539362.734,3235892.795,18700000,17900000,17600000
"TG(18:1e_18:1_22:3)",2940000,14700000,21600000,36800000,42800000,52400000
