"subclass","D0_1","D0_2","D0_3","D10_1","D10_2","D10_3","D2_1","D2_2","D2_3","D4_1","D4_2","D4_3","D6_1","D6_2","D6_3","D8_1","D8_2","D8_3"
"Cer(t20:1)",NA,NA,NA,1540652.528,1326692.928,1381667.197,154029.2838,196796.439,624927.235,1252136.071,688612.52,461804.792,454207.542,627445.632,1047342.001,1194335.91,1085035.034,907439.034
"ChE(0:0)",2991990.014,2.8e+08,2.93e+08,2.69e+09,3.18e+09,3.31e+09,2.12e+09,1.72e+09,1.85e+09,2.02e+09,1.55e+09,2.24e+09,2.5e+09,3.22e+09,1.83e+09,1.65e+09,1.85e+09,1.66e+09
"ChE(16:0)",NA,NA,NA,16600000,20900000,23200000,16300000,12400000,12700000,12200000,7666256.875,13300000,15900000,22200000,1.3e+07,9256047.948,8668979.089,7444781.263
"ChE(16:1)",NA,2656611.421,1282257.259,24600000,34100000,34400000,17700000,14700000,16600000,18400000,13100000,2.1e+07,2.3e+07,27800000,20300000,15500000,16400000,16200000
"ChE(18:1)",NA,18100000,23600000,2.22e+08,2.66e+08,2.8e+08,1.72e+08,1.37e+08,1.5e+08,1.77e+08,1.39e+08,1.79e+08,2.11e+08,2.72e+08,1.53e+08,1.45e+08,1.49e+08,1.4e+08
"ChE(18:2)",NA,32100000,68200000,90800000,1.31e+08,1.24e+08,89500000,77900000,83600000,67600000,61100000,87600000,93700000,1.18e+08,69600000,56200000,5.9e+07,54600000
"ChE(20:3)",243070.3665,5600382.185,10100000,3.5e+07,44800000,45500000,30600000,23300000,27200000,32300000,22200000,30800000,35900000,46700000,27100000,20300000,25700000,23600000
"ChE(20:4)",657681.06,39400000,54900000,99100000,1.15e+08,1.13e+08,1.13e+08,1.11e+08,1.04e+08,1.06e+08,99200000,1.25e+08,1.04e+08,1.19e+08,80300000,77100000,67700000,73300000
"ChE(20:5)",NA,17100000,19400000,5175146.08,NA,NA,30800000,26200000,30400000,36200000,25900000,31400000,30500000,24700000,24700000,1.3e+07,5670438.764,5652619.534
"ChE(22:3)",NA,NA,NA,4507843.152,5877970.393,3377225.701,6800547.333,3478377.894,5781459.403,9138900.894,2892643.599,6158920.837,5713992.198,6860041.687,5876036.019,4045565.938,4516513.889,3238944.963
"ChE(22:5)",NA,20300000,22900000,34600000,44300000,50900000,6.5e+07,48800000,6e+07,95700000,53600000,70400000,50400000,61700000,49800000,34900000,36300000,36700000
"ChE(22:6)",807279.519,98300000,1.04e+08,1.9e+08,2.27e+08,2.21e+08,2.48e+08,2.28e+08,2.24e+08,2.66e+08,2.24e+08,2.88e+08,2.14e+08,2.79e+08,1.73e+08,1.76e+08,2e+08,1.81e+08
