"lipidName","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8","QC-1","QC-2","QC-3","QC-4","QC-5"
"TG(4:0/14:1/18:2)",1.7e+08,1.8e+08,3e+08,2.7e+08,2.7e+08,2.7e+08,1.3e+08,3.5e+08,1.7e+08,1.9e+08,1.6e+08,1.9e+08,1.6e+08,2e+08,1.9e+08,2.1e+08,1.8e+08,1.7e+08,1.7e+08,1.9e+08,3.2e+08
"TG(4:0/14:1/18:3)",1.3e+07,1.1e+07,8330095,1.2e+07,1.9e+07,1.6e+07,1e+07,8676689,2.1e+07,2.9e+07,1.6e+07,2.7e+07,2.7e+07,1.8e+07,1.5e+07,1.3e+07,1.5e+07,9435208,1.3e+07,1.5e+07,7395634
"TG(4:0/16:0/17:0)",8.2e+07,9.6e+07,6.7e+07,5.7e+07,1.2e+08,8.7e+07,5.7e+07,7.7e+07,6.2e+07,8.1e+07,5.5e+07,6.4e+07,5.8e+07,1e+08,6e+07,7.1e+07,7e+07,6.8e+07,6.4e+07,6.4e+07,8.4e+07
"TG(4:0/15:0/18:1)",8.3e+07,8.8e+07,1.8e+08,7.2e+07,1.2e+08,7.6e+07,6.7e+07,8e+07,1.3e+08,8e+07,1.2e+08,9.4e+07,1.3e+08,9.2e+07,1.1e+08,1.6e+08,9.4e+07,8.8e+07,8.9e+07,9e+07,1.2e+08
"TG(4:0/15:0/18:2)",2.2e+08,2.4e+08,2.2e+08,1.2e+08,3e+08,1.3e+08,6.4e+07,2.3e+08,9.2e+07,2.3e+08,3.4e+08,1.6e+08,3.8e+08,2.8e+08,3.8e+08,1.9e+08,1.6e+08,2.5e+08,1.2e+08,1.6e+08,2.3e+08
"TG(4:0/15:0/18:3)",5.1e+07,4e+07,3.9e+07,4e+07,4.7e+07,5.9e+07,5.3e+07,4.3e+07,4.7e+07,5.5e+07,5.2e+07,5.8e+07,4.9e+07,7e+07,5.6e+07,9.1e+07,5.3e+07,4.5e+07,5.5e+07,4.4e+07,4.9e+07
"TG(12:0/12:0/14:0)",2.9e+08,4620472,1.4e+09,8e+08,1.1e+09,2.9e+09,4.7e+08,2.6e+09,2.5e+09,2.7e+09,3.3e+08,2.9e+09,2.9e+08,1.9e+08,2e+08,5.8e+08,9.8e+08,9.4e+08,9.3e+08,9.7e+08,9.8e+08
"TG(16:1/10:0/12:0)",4.9e+09,5.7e+09,4.6e+09,4.5e+09,6.2e+09,5e+09,4e+09,5.4e+09,5e+09,4.7e+09,4.8e+09,5.4e+09,5.3e+09,5.1e+09,4.1e+09,6.1e+09,5.3e+09,5.2e+09,5.5e+09,5.1e+09,5.2e+09
"TG(4:0/16:0/18:2)",1.1e+10,1.1e+10,1e+10,9.2e+09,1.4e+10,1e+10,9.1e+09,1.1e+10,1.1e+10,1.1e+10,1.2e+10,1.1e+10,1.1e+10,1.2e+10,9.8e+09,1.4e+10,1.2e+10,1.2e+10,1.1e+10,1.1e+10,1.1e+10
"TG(4:0/16:1/18:3)",4.9e+08,5.2e+08,4.9e+08,5e+08,8.1e+08,5.3e+08,4.6e+08,5.7e+08,5.3e+08,6e+08,5.3e+08,5.2e+08,5e+08,9.2e+08,4.6e+08,6.7e+08,5.4e+08,5.6e+08,5.2e+08,5.7e+08,5.5e+08
"TG(4:0/16:0/18:4)",1.4e+07,1.9e+07,1.3e+07,1.3e+07,2.5e+07,1.6e+07,7.5e+07,2.1e+07,1.4e+07,1.8e+07,1.2e+07,1.5e+07,1.6e+07,2e+07,1.5e+07,2e+07,1.9e+07,1.5e+07,1.4e+07,1.7e+07,1.7e+07
