"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1700007K09Rik",0.26918700040688,-2.2934781658556e-07,0.00144269498851721,0.629774233158747,NA
"1700007K13Rik",5.24013445728512,-3.58049778921775e-07,0.00144269444315575,0.575776240465121,0.999944505954311
"1700007L15Rik",55.2856534586017,-3.30236210729029e-06,0.00144269015653121,0.136955466666018,0.999944505954311
"1700008A23Rik",0.674940226712422,2.55163357718423e-07,0.0014426950203473,0.375834603299603,NA
"1700008B11Rik",5.08874866176753,-6.05033249716865e-07,0.00144269434044989,0.424574003606227,0.999944505954311
"1700008J07Rik",334.902499248544,1.35926543572245e-06,0.00144268751962954,0.57097840964966,0.999944505954311
"1700008O03Rik",7.81317397313198,1.89917587289018e-06,0.00144269476039007,0.0283775687149693,0.999944505954311
"1700009J07Rik",7.50112889040222,3.14457205488467e-07,0.00144269309647148,0.778031755688105,0.999944505954311
"1700010B13Rik",1.79047880880156,2.94515669134228e-07,0.00144269472163231,0.597489144567318,NA
"1700010I14Rik",25.7182247270177,9.57202330522456e-09,0.00144269095636711,0.998206200106707,0.999944505954311
