"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Kcns1",4.72461714923705,-0.140262149471689,1.81086906193856,-0.0774557103104607,0.938261023429722,0.99994115597459
"Ino80c",1090.15839391035,0.0414583587195098,0.535682910836876,0.0773934689362054,0.938310536234733,0.99994115597459
"Fam102a",2111.62215340327,0.0506395182101606,0.654456658199426,0.0773764275689127,0.938324092627007,0.99994115597459
"Gm10522",6.93094085468189,-0.168259127833316,2.17476785227075,-0.0773687764685465,0.938330179076245,0.99994115597459
"Fkbp8",12728.4834252387,-0.0501702370040182,0.64850221633825,-0.0773632467862686,0.938334577939943,0.99994115597459
"Mir6975",0.910201128795825,0.14567481249254,1.88553860774667,0.0772589921490021,0.938417512883192,NA
"Adam3",9.42361407886601,-0.0986062301319153,1.27704709554163,-0.0772142472083958,0.938453107851166,0.99994115597459
"Gm10031",199.951245415043,-0.0664954842402248,0.861670142916666,-0.0771704634155529,0.93848793833724,0.99994115597459
"Gm43359",4.11939393289754,0.152463997381042,1.97603258514048,0.0771566210636164,0.938498950104089,0.99994115597459
"Cfap45",45.3455815624842,-0.0416714214775376,0.540220041858766,-0.0771378665148305,0.938513869604708,0.99994115597459
"AC132265.1",17.877094852753,-0.0425707216682963,0.551912339896486,-0.0771331216770414,0.938517644191625,0.99994115597459
"Mical1",2568.76357080184,-0.0554975910866539,0.719735091409239,-0.0771083579904237,0.938537344084027,0.99994115597459
"Tmem150a",1145.08770535323,0.0552580895004302,0.716695779826626,0.077101178848573,0.93854305520848,0.99994115597459
"Prrg4",3.69580814472834,-0.138234559365132,1.79442902355155,-0.0770354009831701,0.938595382720553,0.99994115597459
"Gm43484",1.18516729277321,-0.228323774917164,2.96471000481686,-0.0770138646094217,0.938612515362988,NA
"Ldoc1l",393.520338140551,-0.0503797676116837,0.654906613503869,-0.0769266435440967,0.93868190186226,0.99994115597459
"C230096K16Rik",84.3555067569716,-0.0446804620633545,0.5809769559143,-0.0769057388739964,0.938698532109844,0.99994115597459
"Nxpe5",211.874923985791,0.0528644891675675,0.687578976303915,0.0768849702935086,0.938715054120825,0.99994115597459
"Mir1938",1.35837372094453,0.126541040698374,1.64726891252731,0.0768186904615525,0.938767781834971,NA
"Gm10167",6.17861630252291,0.0631369008278319,0.82272957557725,0.0767407696308149,0.938829770677171,0.99994115597459
"Gabbr2",9.48982432539316,-0.0783364785558601,1.02222489458064,-0.0766333112910514,0.93891525828529,0.99994115597459
"Med20",961.007256624287,0.0251016372179819,0.328354514269808,0.0764467553424769,0.939063673024113,0.99994115597459
"Gm5302",0.598930111482659,0.182448061372238,2.38665823722707,0.0764449884472001,0.939065078689235,NA
"1700025A08Rik",2.89745145286902,-0.114815825814649,1.50229713875276,-0.076426841836344,0.939079515355466,0.99994115597459
"Ptpn12",787.061351433849,-0.054987988811551,0.719488235304374,-0.0764265294599136,0.939079763868947,0.99994115597459
"Ggcx",726.781477472437,0.0293640871340322,0.384666837916334,0.0763364143711784,0.939151455871396,0.99994115597459
"Gm8000",3.14592477087325,0.107960652552662,1.41481513690262,0.0763072501394171,0.939174657887015,0.99994115597459
"Rpn1",4719.44645564318,0.0375361262762613,0.492143089694035,0.0762707575546727,0.93920369014986,0.99994115597459
"Wdr60",234.38202721758,0.0377007254329091,0.494347523413139,0.0762636073760638,0.939209378598945,0.99994115597459
"Ttc39a",101.836107730181,0.0778845052372187,1.02126408013218,0.0762628459694173,0.939209984349442,0.99994115597459
"Gm17046",0.733115726989041,0.172086931088516,2.2587948114686,0.0761852870454536,0.93927168790462,NA
"Gm20033",107.588258031232,-0.0563204418759769,0.739713188839056,-0.0761382150889713,0.93930913712009,0.99994115597459
"Ddx47",2163.72670038178,0.0268892516538782,0.353164419522042,0.0761380540267023,0.939309265257243,0.99994115597459
"Mtch1",5195.5146514199,0.045872750156634,0.603311947325591,0.0760348777443947,0.939391350075019,0.99994115597459
"Gm45807",2.97683515417228,-0.0860655265311106,1.13199831956911,-0.076029729941535,0.939395445572464,0.99994115597459
"Klhl18",861.148266507702,-0.0296639107076289,0.39030196712444,-0.0760024627243839,0.939417138896553,0.99994115597459
"Cd163",947.444399590618,-0.0445405750746084,0.586115634931935,-0.075992811691128,0.939424817101659,0.99994115597459
"Gm3264",5.93553877623823,-0.0883336270453486,1.16353611996577,-0.075918250864397,0.939484136672595,0.99994115597459
"Shcbp1",33.3502547911741,0.131192736969354,1.72878042462588,0.075887449383715,0.939508642006124,0.99994115597459
"Gm15764",5.51772288330346,-0.0957215046102708,1.26148387005939,-0.0758800860495858,0.939514500205666,0.99994115597459
"Gm44428",4.28900288286355,0.0908747973839693,1.19833383546728,0.0758342914923481,0.93955093399918,0.99994115597459
"Atp7a",42.1040495904283,0.112383967460255,1.48213254210925,0.0758258551561923,0.939557645896405,0.99994115597459
"C230035I16Rik",11.9987544873387,-0.111772098822874,1.47478417975722,-0.0757887834417056,0.939587139975617,0.99994115597459
"Noc4l",994.914602061374,0.0422945130371546,0.558178817961356,0.0757723361693075,0.939600225373624,0.99994115597459
"Wiz",1914.72483882303,0.0467415085134372,0.616913016533562,0.0757667730469978,0.939604651379865,0.99994115597459
"Gm44021",1.24193402509066,0.219272860155992,2.89406132917847,0.0757664870281918,0.939604878935764,NA
"Dnlz",2414.68607883894,0.0416933982685931,0.550372008573398,0.0757549396028793,0.939614066044711,0.99994115597459
"Mfsd14a",955.561684667697,-0.0536685411591908,0.708456025632033,-0.075754230633174,0.939614630099881,0.99994115597459
"Ap5b1",497.812213979782,-0.0555128541751109,0.733206547264682,-0.0757124365326639,0.939647881473291,0.99994115597459
"Trmt44",266.191465445431,0.0317678311654358,0.420188210682275,0.0756038136192664,0.939734302321472,0.99994115597459
"Tor1aip1",2008.92752922787,-0.049519693979354,0.655732390670697,-0.0755181453347214,0.939802460870736,0.99994115597459
"Tcaf1",1146.41716555785,0.0410858868769574,0.545298135150299,0.0753457314971984,0.939939636391121,0.99994115597459
"Exosc7",602.165138332818,-0.0242795002995799,0.322506162104842,-0.0752838337758241,0.939988883755772,0.99994115597459
"AC153143.2",0.707067200681585,0.239078919240485,3.17792911864157,0.0752310420764453,0.94003088632447,NA
"Gm8428",0.707067200681585,0.239078919240485,3.17792911864157,0.0752310420764453,0.94003088632447,NA
"Nudt3",3707.23133321211,-0.0373582719749226,0.496612083713792,-0.0752262645233033,0.940034687489067,0.99994115597459
