,,,,,OA,OA,OA,DGAT1i,DGAT1i,DGAT1i,DGAT1+2i,DGAT1+2i,DGAT1+2i,DGAT2i,DGAT2i,DGAT2i
ID,RT,m/z,Type,Metabolite name,Aml 12_1,Aml 12_2,Aml 12_3,Aml 12_1i-1,Aml 12_1i-2,Aml 12_1i-3,Aml 12_1-2i-1,Aml 12_1-2i-2,Aml 12_1-2i-3,Aml 12_2i-1,Aml 12_2i-2,Aml 12_2i-3
153,18.2915,768.588,[M+H]+,PC O-36:4,2233000,2442000,2287000,2014000,1898000,2055000,1954000,2041000,2194000,1675000,2163000,2042000
154,17.44853,766.5695,[M+H]+,PC O-36:5,1430000,1449000,1330000,1430000,1175000,1153000,1290000,1199000,1567000,1128000,1290000,1305000
155,16.20793,764.5531,[M+H]+,PC O-36:6,6157000,5256000,5681000,6118000,5915000,5395000,5105000,5047000,5554000,5939000,5324000,5423000
156,18.87482,782.6024,[M+H]+,PC O-37:4,102500,66750,77980,100100,73920,61750,82170,97910,87660,76290,70400,85450
157,22.06218,800.6594,[M+H]+,PC O-38:2,257900,284100,196900,286900,179300,220400,168300,139100,148500,179700,225600,246100
158,20.02943,796.6115,[M+H]+,PC O-38:4,516900,543700,472700,526400,446600,492400,475100,475500,594600,394600,428400,457700
159,17.86202,794.6059,[M+H]+,PC O-38:5,3726000,4028000,3342000,3792000,2945000,3325000,3341000,3566000,3825000,2894000,3211000,3321000
160,17.53437,792.5906,[M+H]+,PC O-38:6,1796000,1122000,862000,1041000,822800,1642000,1697000,1069000,1349000,1422000,1006000,984100
161,16.96273,790.5777,[M+H]+,PC O-38:7,841800,955400,746200,919500,758600,902000,831200,782500,853800,617500,764900,762200
162,22.93647,826.6708,[M+H]+,PC O-40:3,204500,23090,11200,23840,19910,16040,55860,42470,10680,4760,20460,9921
163,21.80418,822.6238,[M+H]+,PC O-40:5,119300,126000,110900,148500,111000,121800,116000,73600,3465,6482,110400,109900
164,17.94818,820.614,[M+H]+,PC O-40:6,140800,165400,159700,256100,137100,234800,176900,N/A,265100,140900,169400,N/A
165,19.44612,820.6187,[M+H]+,PC O-40:6,735900,843200,722200,875100,721400,752400,576100,661500,710300,572100,701500,658100
166,17.31955,818.6022,[M+H]+,PC O-40:7,928800,1260000,1039000,1446000,1146000,1191000,1017000,982400,1326000,721900,1101000,921600
167,17.03438,816.5906,[M+H]+,PC O-40:8,636700,761700,614400,693200,577200,693800,533000,495600,574500,454400,626000,586200
168,17.27688,840.5867,[M+H]+,PC O-42:10,36670,48330,46520,64370,38500,52350,45910,39810,59010,39100,34920,38840
169,23.29495,854.6869,[M+H]+,PC O-42:3,621400,53230,30710,59710,52940,65470,173200,115400,38540,36830,72630,28260
170,22.19133,850.6704,[M+H]+,PC O-42:5,42070,62270,52760,44500,36700,42640,26570,26170,23610,33730,45710,49580
171,17.07738,842.6204,[M+H]+,PC O-42:9,69310,89650,60150,66020,51000,55560,58700,40770,64280,58520,71100,76000
172,17.00573,690.5047,[M+H]+,PE 32:1,91220,118600,180000,122600,106800,176200,109900,149900,159900,62470,172100,96490
173,18.76015,718.5354,[M+H]+,PE 34:1|PE 16:0_18:1,1361000,1437000,1264000,1565000,1222000,1362000,1276000,1412000,1460000,1166000,1392000,1365000
174,19.84477,732.5445,[M+H]+,PE 35:1,7092000,7685000,6626000,7364000,5693000,6358000,5662000,5522000,6539000,5637000,6246000,6445000
175,17.86202,730.5414,[M+H]+,PE 35:2,499000,479400,450100,853100,555300,514600,555200,663900,629800,304800,401700,423700
176,20.90955,746.5707,[M+H]+,PE 36:1|PE 18:0_18:1,2471000,2714000,2316000,3066000,2283000,2796000,3010000,2896000,2902000,2322000,2978000,2925000
177,18.86048,744.5546,[M+H]+,PE 36:2|PE 18:1_18:1,9651000,10970000,9503000,10730000,8792000,9821000,8418000,8696000,8594000,9741000,12150000,11640000
178,17.30522,742.5385,[M+H]+,PE 36:3,122700,108900,163600,359200,133600,159600,130200,132600,121800,209000,192700,163100
179,16.93407,740.5217,[M+H]+,PE 36:4,1085000,1216000,1052000,898200,835400,823600,824100,781100,845200,846700,1068000,1062000
180,20.79623,772.5847,[M+H]+,PE 38:2,237700,241900,237900,190800,143000,224300,162100,194300,156400,218300,354200,316700
181,20.48407,770.5714,[M+H]+,PE 38:3,144200,147500,126800,164500,113200,88460,133400,156100,167500,N/A,160300,149800
