gene_symbol,I1_0,I2_0,I3_0,I1_2,I2_2,I3_2,I1_7,I2_7,I3_7
Mkx,0.67,0.55,0.68,0.42,0.41,0.28,0.65,0.47,0.49
Duxbl1,0.56,0.23,0.38,0.16,0.22,0.23,0.17,0.58,0.45
Necab3,0.22,0.33,0.2,0.27,0.14,0.15,0.53,0.3,0.46
4930519G04Rik,0,0,0,0,0,0,0.06,0,0
Clca1,0,0,0.02,0,0.02,0,0.02,0,0.02
Prdm1,0,0.01,0.01,0,0.01,0.01,0.03,0.01,0
Stk38,32.07,35.57,33.63,50.27,50.5,50.48,39.9,40.61,40.43
Pkib,0,0.06,0,0,0.01,0,0,0,0
Gnb2,166.59,163.34,164.56,137.58,147.29,145.82,137.79,132.42,132.38
Id4,22.67,21.13,24.12,16.8,16.02,17.92,16.32,18.32,22.37
Fam114a1,80.69,89.19,81.63,53.01,59.24,56.74,83.4,79.17,77.11
Ptar1,6.5,6.68,7.14,4.89,5.25,4.36,4.48,4.14,3.72
Ly6g,0,0.08,0.07,0,0,0,0.14,0,0
Myo6,2.26,2.7,2.47,3.87,3.8,3.83,4.2,3.8,3.78
Kcns3,0.06,0.13,0.07,0.25,0.17,0.27,0.05,0.26,0.16
Kiss1r,0.26,0.29,0.13,1.07,0.74,1.03,0.84,0.97,0.85
R3hdm2,32.22,34.39,34.13,33.92,35.35,35.69,34,35.89,36.2
Gys1,26.92,27.35,25.43,34.89,38.21,35.44,23.88,22.5,23.91
Rexo1,10.8,9.86,10.11,11.38,10.67,9.78,7.51,8.31,8.38
Serpina6,0,0,0,0,0,0,0.04,0,0
Cdc26,44.89,38.9,37.59,43.81,46.03,48.08,39.79,33.88,29.29
Lca5l,0.58,0.78,0.53,0.21,0.2,0.39,0.46,0.67,0.52
Tshz3,6.33,6.21,6.71,7.48,7.62,8.25,9.35,9.6,10.79
Atp2c1,22.87,24.4,25.23,24.99,24.01,22.92,16.71,16.56,18.94
Inpp5j,0,0,0,0.02,0,0.01,0,0,0
Ldb3,1.29,1.14,1.36,0.15,0.17,0.15,0.54,0.59,0.66
Taf13,11.53,12.65,13.35,15.98,13.78,15.33,9.17,9.36,9.69
Uck1,11.75,12,12.53,14.49,15.77,14.99,13.97,15.24,14.4
Macf1,20.85,24.32,22.97,15.66,14.71,13.89,17.5,18.22,18.95
Osbpl11,10.28,10.31,12.12,13.86,13.65,13.67,9.93,10.05,10.55
Tex15,0.4,0.37,0.67,0.99,0.58,0.49,0.33,0.44,0.42
Psmd13,51.96,49.93,49.27,40.62,41.07,45.36,31.47,28.62,28.28
Atp5e,68.09,53.77,62.21,78.92,73.93,80.31,78.96,66.7,77.71
Rpl26,527.45,462.13,481.38,617.91,624.41,563.08,548.03,474.63,467.5
Cdca4,27.14,26.69,26.79,19.96,20.04,21.94,13.11,12.21,11.85
Gm33049,0.35,0.09,0.09,0.09,0,0.17,0.09,0,0
