"gene","R_log2FC_avg","R_n","R_up_pct","R_down_pct","P_log2FC_avg","P_n","P_up_pct","P_down_pct","P_R","p_value"
"MGLL",0.00965311516742136,12,0.25,0.166666666666667,-0.912154786259948,20,0,0.8,-0.921807901427369,0.00127424261392875
"MGLL",0.560245596689149,1,0,0,-0.893891942327627,1,0,1,-1.45413753901678,NA
"MOGAT1",0.00965311516742136,12,0.25,0.166666666666667,-0.641791286589959,93,0.021505376344086,0.483870967741935,-0.65144440175738,0.0102951769371956
"MOGAT3",0.00965311516742136,12,0.25,0.166666666666667,-0.641791286589959,93,0.021505376344086,0.483870967741935,-0.65144440175738,0.0102951769371956
"MOGAT2",0.00965311516742136,12,0.25,0.166666666666667,-0.641791286589959,93,0.021505376344086,0.483870967741935,-0.65144440175738,0.0102951769371956
"CLPS",-0.366948613707117,70,0.114285714285714,0.414285714285714,-0.641791286589959,93,0.021505376344086,0.483870967741935,-0.274842672882841,0.0300688895896768
"PNLIP",-0.366948613707117,70,0.114285714285714,0.414285714285714,-0.641791286589959,93,0.021505376344086,0.483870967741935,-0.274842672882841,0.0300688895896768
"CLPS",-0.366948613707117,70,0.114285714285714,0.414285714285714,-0.912154786259948,20,0,0.8,-0.54520617255283,0.00217884609682293
"PNLIP",-0.366948613707117,70,0.114285714285714,0.414285714285714,-0.912154786259948,20,0,0.8,-0.54520617255283,0.00217884609682293
"CLPS",-0.641791286589959,93,0.021505376344086,0.483870967741935,0.00965311516742136,12,0.25,0.166666666666667,0.65144440175738,0.0102951769371956
"PNLIP",-0.641791286589959,93,0.021505376344086,0.483870967741935,0.00965311516742136,12,0.25,0.166666666666667,0.65144440175738,0.0102951769371956
"CLPS",-0.641791286589959,93,0.021505376344086,0.483870967741935,-0.912154786259948,20,0,0.8,-0.270363499669989,0.089781080461041
"PNLIP",-0.641791286589959,93,0.021505376344086,0.483870967741935,-0.912154786259948,20,0,0.8,-0.270363499669989,0.089781080461041
"PLD4",0.538896397241187,99,0.404040404040404,0.0606060606060606,0.186792822257502,40,0.2,0.075,-0.352103574983684,0.0205893674435555
"PLD6",0.538896397241187,99,0.404040404040404,0.0606060606060606,0.186792822257502,40,0.2,0.075,-0.352103574983684,0.0205893674435555
"PLD3",0.538896397241187,99,0.404040404040404,0.0606060606060606,0.186792822257502,40,0.2,0.075,-0.352103574983684,0.0205893674435555
"PLD1",0.538896397241187,99,0.404040404040404,0.0606060606060606,0.186792822257502,40,0.2,0.075,-0.352103574983684,0.0205893674435555
