"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1.2i_1","COS7OADGAT1.2i_2","COS7OADGAT1.2i_3"
"ChE(22:5)",20500000,18100000,28900000,20900000,10400000,20300000
"ChE(22:6)",50300000,53600000,62100000,8.7e+07,44200000,1e+08
"DG(32:0)",77900000,15300000,24900000,17300000,11200000,37800000
"DG(32:1)",3.6e+07,3392156.586,5867782.28,9413710.046,3974694.99,2.6e+07
"DG(34:0)",1.81e+08,62800000,2.85e+08,60300000,43900000,1.24e+08
"DG(34:1)",7.62e+08,60900000,92100000,1.6e+08,82600000,3.67e+08
"DG(34:2)",91700000,5504316.843,8179258.6323,1.2e+07,4909344.743,916889.9625
"DG(34:3)",583379.08,107778.99,274563.155,386427.568,323432.273,68900000
"DG(36:0)",4.13e+08,1.28e+08,1.35e+09,1.15e+08,79200000,1.53e+08
"DG(36:1)",3.28e+08,2.69e+08,3.63e+08,2.86e+08,1.5e+08,6.84e+08
"DG(36:2)",1082310958.41,803100000,1.203e+09,2.835e+09,1.321e+09,5.91e+09
"DG(36:3)",37830171.271,24556243.41,36913309.928,64860461.04,33407286.16,5.3e+08
"DG(36:4)",5834047.574,5033497.723,7031261.533,12996871.029,5878911.9046,124800000
"DG(36:5)",167472.9529,1058119.726,426746.217,903537.445,515975.928,106100000
"DG(38:0)",11600000,5385974.059,27700000,4922602.231,2636393.149,2214396.644
"DG(38:1)",14200000,6154783.18,10600000,15200000,6871517.755,34500000
"DG(38:2)",96875501.187,125055180.737,193475882.193,356378887.8323,199492720.5457,5.37e+08
"DG(38:3)",2.7e+07,28400000,4e+07,52600000,25351367.355,135600000
"DG(38:4)",118800000,117300000,1.62e+08,168300000,88100000,3.77e+08
"DG(38:5)",58600000,45900000,69200000,1.76e+08,87700000,4.63e+08
"DG(38:6)",2671686.918,2297331.779,2130477.095,14500000,8197464.848,27100000
"DG(40:2)",26800000,30502169.63,47200000,116614608.9146,57142445.653,170900000
"DG(40:4)",8479493.526,5535004.95,8939553.405,21086119.415,10400750.816,34885217.423
"DG(40:5)",31300000,24710112.777,39700000,153700000,74472898.761,342600000
"DG(40:6)",32284294.832,24947382.135,3.8e+07,104004680.373,47515457.178,227300000
"DG(40:7)",47800000,45900000,69400000,1.41e+08,65800000,2.94e+08
"DG(42:2)",7970834.871,11700000,20600000,1.4e+07,5251559.526,7072026.714
"LPC(14:0)",6866427.247,2700369.782,3487795.143,5090550.249,2686395.707,359088.661
"LPC(16:0)",3504100000,113197562.602,857200000,215571317.619,113375891.064,219467682.487
"LPC(16:1)",38600000,16508432.255,26585960.689,22389268.5594,11397415.9378,23376315.6944
"LPC(18:0)",1845300000,159567343.958,606760095.636,369287189.775,216588044.465,412408301.676
"LPC(18:1)",182500000,107100000,169700000,3.55e+08,190100000,415900000
"LPC(18:2)",6611794.1184,3406580.9016,5125913.1802,8587796.52,3161116.9335,9262537.365
"LPC(20:0)",23394001.0175,5664056.0285,10631664.2708,13985932.7,7264017.29,17215867.446
"LPC(20:1)",14853315.716,8673534.166,14040499.765,19599809.528,9737483.914,19457646.224
"LPC(20:3)",1312410.633,3444089.492,3826492.708,9657205.77,4327025.408,9412542.283
"LPC(20:4)",22800000,16200000,24700000,42700000,18600000,46900000
"LPC(20:5)",1448935.512,1397053.967,2253985.359,7260174.128,2019554.761,5342064.976
"LPC(22:0)",21700000,1475201.96,6529739.978,3986901.904,2169977.741,3986900.603
"LPC(22:1)",4454805.026,2177717.086,4408972.899,6513600.944,2956577.538,10500000
