"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1.2i_1","COS7OADGAT1.2i_2","COS7OADGAT1.2i_3"
"PS(22:5)",162533.947,177996.483,209382.872,NA,14616.9462,142742.495
"PS(22:6)",114624.1746,304532.1507,992115.4275,71804.4144,NA,319824.784
"PS(4:0)",340618.809,781109.598,491093.446,4552006.491,33764.346,445017.95
"SM(16:0)",7.01e+09,5.1e+09,8.35e+09,9.24e+09,4.3e+09,1.05e+10
"SM(24:1)",1304500000,1643600000,2425700000,951700000,392950000,1220550000
"SM(d18:1)",4.785e+09,4.17e+09,6.57e+09,5.55e+09,2532500000,6.45e+09
"SM(d20:1)",4.9e+07,47200000,61400000,43400000,20900000,41100000
"SPH(d16:1)",35500000,21800000,18600000,14400000,9064710.286,17800000
"SPH(d18:0)",12700000,8775022.337,10900000,26300000,13800000,24300000
"SPH(d18:1)",14800000,9209775.627,7724662.154,8393716.637,3022585.326,23100000
"SPH(d20:1)",16300000,14500000,11400000,12100000,6641550.393,5.5e+07
"SPH(d20:2)",1229071.48,1000855.954,1114154.665,474806.065,545805.958,37400000
"SPH(d22:0)",3.6e+08,1.97e+08,2.51e+08,4.27e+08,2.56e+08,3.99e+08
"SPH(d22:2)",7291124.31,4246903.196,6031221.842,2948672.93,2837384.274,6746099.543
"SPH(d24:0)",4973213.785,717796.517,1073404.488,527455.287,837497.467,1019374.853
"SPH(t16:0)",4.15e+08,2.91e+08,4.47e+08,9.98e+08,4.39e+08,6.74e+08
"SPH(t18:0)",1.51e+08,91100000,1.7e+08,3.59e+08,1.58e+08,2.39e+08
"SPH(t20:0)",77300000,49900000,78700000,1.89e+08,70600000,1.08e+08
"SPH(t20:1)",351147.204,59209.562,22440.075,0.338,287130.151,10600000
"TG(10:0)",26150384.1796667,17910280.4855,28772928.2493333,15736592.6075,5574899.745,30377107.4483333
"TG(10:1)",17933333.3333333,0.307,189819.43045,68085.5723333333,40661.462,778838.53356
"TG(10:4)",262833.67,400522.583,823183.055,365531.03,229598.232,19900000
"TG(12:0)",21848777.8617273,8164795.44029091,11108859.7794364,7244253.91102,6028597.6088,24711993.9343
"TG(12:2)",13100000,35989.2,115818.293,NA,NA,231876.447
"TG(14:0)",262373783.971684,146653494.651495,195675792.188263,69705109.2806316,59831710.7733333,136927729.729722
"TG(14:1)",13400000,0.307,139285.766,NA,39188.805,667859.8896
"TG(14:2)",45200000,60600000,73100000,34600000,20500000,1.19e+08
"TG(16:0)",332333616.642475,177400120.677276,199439665.625363,91615274.4555231,76529295.8089733,124519732.767824
"TG(16:1)",310174545.958375,314603252.095983,410878028.728079,108803689.283783,76125924.6397391,168777681.47713
"TG(16:2)",262833.67,400522.583,823183.055,365531.03,229598.232,19900000
"TG(18:0)",339408351.002,301792298.615211,361194869.728855,91076429.7525789,56448361.8797263,69488429.13658
