"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"PC(32:0)",6004300000,4944800000,6731500000,4764700000,7325300000,7586700000
"PC(32:1)",3120277684.227,2865442176.3537,4486021374.8894,2354786780.861,4280189574.349,5126915092.7587
"PC(32:2)",87990878.762,78842761.155,116903162.64,112996584.912,197347614.425,131897584.53
"PC(32:3)",863066.805,771569.956,1094119.371,176366.157,848045.181,1764636.093
"PC(32:4)",6153177.151,2952878.411,4549150.958,2703533.196,3879147.279,5549623.206
"PC(34:0)",324802615.6,456200000.238,532676735.377,272738122.154,485700000,374600000
"PC(34:1)",21039700000,19656600000,2.5057e+10,18404100000,2.586e+10,2.8044e+10
"PC(34:2)",6.163e+09,5.838e+09,7.116e+09,5.331e+09,8.764e+09,9.46e+09
"PC(34:3)",2.3e+08,200300000,266300000,213900000,288800000,305200000
"PC(34:4)",58600000,50100000,74300000,45100000,77600000,89300000
"PC(34:5)",17271324.893,11766297.929,17482776.154,8513031.541,13520083.561,14806802.078
"PC(34:6)",2.7e+07,31500000,54100000,33700000,43800000,50500000
"PC(36:0)",103090743.448,66600000,97745503.018,73300000,130033137.966,136301379.053
"PC(36:1)",4510519876.13,3500100000,5550100000,3364076837.924,5.879e+09,6238646161.243
"PC(36:2)",5235861270.0102,7335701258.6983,8584434304.8606,5291190455.48,7282800000,6159371232.036
"PC(36:3)",2862800000,3135200000,5048800000,2635700000,5203100000,5877900000
"PC(36:4)",1902149801.468,1850257270.952,2376393487.205,1695077533.484,2364985068.405,2503866988.677
"PC(36:5)",789600000,680800000,895400000,753300000,877700000,892200000
"PC(36:6)",1675842807.757,1462755299.522,1852400000,1849729163.398,1804500000,1959500000
"PC(36:7)",5573010.939,3009730.556,6182416.115,2041065.065,3328763.28,4968043.831
"PC(38:0)",1650675.48,1216413.061,1876588.653,963120.404,2456449.972,3397576.15
"PC(38:1)",87819412.77,89451599.196,120287980.292,134941744.8823,173885612.2888,123374506.7137
"PC(38:2)",1.51e+09,1177600000,2.341e+09,1198900000,2529700000,2961800000
"PC(38:3)",419802021.196,443033405.887,706920594.506,392964349.59,766613195.371,828499841.818
"PC(38:4)",1115600000,1112800000,1.59e+09,1083500000,1829600000,1.868e+09
"PC(38:5)",2453100000,2227500000,3459847232.37,1948600000,3603400000,4010500000
"PC(38:6)",679182585.963,6.55e+08,981800000,537870047.862,1002899696.732,1025355195.418
"PC(38:7)",269600000,285400000,441700000,215244361.248,392300000,443344897.413
"PC(38:8)",2246120.681,2401087.374,4009230.824,2220220.611,3754476.846,4500879.673
"PC(40:1)",1278427.382,27400000,47100000,1677944.861,1533678.12,6281853.578
"PC(40:10)",19800000,NA,1824197.658,NA,NA,NA
"PC(40:2)",277617630.942,246401421.24,398254482.408,241026281.774,505815730.361,544630130.754
"PC(40:3)",30200000,27600000,52200000,21200000,48400000,59100000
"PC(40:4)",76660371.203,7.9e+07,110300000,72259034.543,144800000,145286605.261
"PC(40:5)",453900000,426800000,695400000,463700000,850700000,899400000
"PC(40:6)",484200000,507400000,760500000,453300000,837800000,770700000
"PC(40:7)",650600000,543400000,898900000,488400000,938500000,1.111e+09
"PC(40:8)",128500000,116500000,198800000,106400000,1.86e+08,237100000
"PC(40:9)",1121895.564,762072.436,1218570.029,710559.581,1056917.466,1475674.65
"PC(42:10)",15300000,11100000,1.8e+07,10700000,18200000,19400000
"PC(42:11)",626602.456,690326.067,782717.074,527179.124,782941.841,1458659.76
"PC(42:2)",72800000,112800000,158800000,89608965.152,1.63e+08,191320461.434
"PC(42:3)",8038663.412,15800000,25500000,9024957.439,12500000,26300000
"PC(42:4)",33904529.851,31828874.848,56300000,32064024.951,61300000,62600368.742
"PC(42:5)",71300000,61300000,1.07e+08,58300000,113400000,137100000
"PC(42:6)",168717608.246,153302573.596,2.52e+08,141351543.891,269400000,325600000
"PC(42:7)",25700000,21159988.608,3.4e+07,18105934.959,38600000,45300000
"PC(42:8)",NA,260610.198,993632.2071,85004.5824,594980.196,85279.245
"PC(42:9)",6832452.743,5163916.18,9203474.934,5386866.416,11500000,11800000
"PC(44:10)",1368686.276,884539.225,1507861.18,914068.283,1943544.639,2232258.652
"PC(44:11)",3742431.711,2604714.059,3835293.843,2311775.666,4875884.683,5259929.487
"PC(44:12)",1832794.325,1679858.787,3025757.482,1721285.139,2521464.387,3256565.857
"PC(44:4)",486695.218,1444982.626,1775154.774,1023837.867,1502307.042,3481420.69
"PC(44:5)",7230672.966,6086707.185,9127732.731,5134010.897,9349541.429,10900000
"PC(44:6)",19152380.867,18088808.031,2.9e+07,15346315.117,30200000,38300000
"PC(44:8)",544097.477,1805136.504,2651992.346,2131238.11,3677301.304,3891434.014
"PC(44:9)",38100000,28700000,53400000,2.6e+07,5.9e+07,68800000
"PE(20:3)",12400000,8272440.584,13300000,9859494.477,19900000,2.3e+07
"PE(30:0)",3220874.538,4677647.64,4643529.322,2248907.94,3117614.246,2575358.054
"PE(32:0)",71739499.414,58527936.648,84167707.896,71496940.011,99923988.517,112752865.511
"PE(32:1)",83666777.581,47969701.564,121433447.27,85029914.261,122039941.8725,86854469.971
"PE(32:2)",12266522.896,15390250.398,19723737.566,11496052.621,18774785.308,16931925.846
"PE(34:0)",44821514.709,45253993.806,62988824.557,56280704.387,73230372.401,83499988.511
"PE(34:1)",814444510.5688,916727580.015,1248700000,900188495.625,1335534683.72,1661766204.262
"PE(34:2)",241362872.018,264528308.81,290726479.696,241839315.859,375223989.513,362182117.889
"PE(34:3)",10352297.659,12406532.611,16928306.852,10537006.714,14568519.359,14556544.839
"PE(34:4)",606152.084,575841.288,860110.153,534266.396,1172638.321,942610.712
"PE(34:5)",2001669.911,3617572.657,3696295.056,3041224.374,5028521.835,2435416.895
"PE(36:0)",18018221.617,16417413.823,24708664.083,16299577.931,27921823.76,31308504.705
"PE(36:1)",1044288417.521,995571464.754,1486548184.842,1029167803.392,1628907570.179,1911913549.215
"PE(36:2)",2203862499.1459,2227971113.8187,3540216272.3745,2148778591.7402,3815735385.1288,4386204465.5934
"PE(36:3)",222666717.589,300737365.963,377420663.89,219134288.459,326883270.088,307885506.15
"PE(36:4)",810996985.535,771608211.3002,1175183028.237,741486059.766,1254959975.275,1321845616.8521
"PE(36:5)",313063097.416,486638684.155,562718228.336,346633463.502,481271599.571,330823661.128
"PE(36:6)",28587980.487,46332666.205,50458036.01,38643340.6,59814377.076,37887507.159
"PE(36:7)",758332.909,1322930.673,1646219.6,632693.235,1586447.384,447632.472
"PE(38:1)",39238044.781,57567726.271,31352711.289,12778051.969,20888548.157,17757858.094
"PE(38:2)",371623591.171,386759126.553,557553076.241,407040538.998,651830159.376,741462913.104
"PE(38:3)",334556352.966,396370591.825,591500000,334059856.731,588776688.272,626675965.073
"PE(38:4)",1516166414.047,1379677946.586,2101255937.71,1365632096.209,2302009244.249,2594067191.902
"PE(38:5)",1842969647.838,1992030741.4062,2884283704.452,1724070831.842,2929156213.371,3088613767.437
"PE(38:6)",686748060.258,844352776.154,1064917353.171,653500667.023,1014440968.733,813096587.0195
"PE(38:7)",107300225.797,156941858.263,190068326.068,95127285.444,131552958.736,72687819.203
"PE(38:8)",287784.1983,1222322.249,1209031.859,345513.1773,296867.4867,151429.665
"PE(40:1)",1719412.77,2975038.144,3119495.172,751479.7263,656539.7913,717793.4787
"PE(40:2)",104900000,106700000,146900000,116600000,1.65e+08,200200000
"PE(40:3)",17947791.339,22045437.669,33348922.767,18875313.621,35228709.406,34249951.4811
"PE(40:4)",104224933.983,97327733.695,153874855.157,102964262.221,163141981.001,170459165.619
"PE(40:5)",443954955.601,474072695.618,637507767.156,420064366.36,685990404.619,757725431.861
"PE(40:6)",823600000,909700000,1331500000,815600000,1365300000,1415700000
"PE(40:7)",721167313.581,817301150.3393,1145116059.5343,652349197.867,1075834902.559,1097141966.874
"PE(40:8)",126696419.501,214853042.851,250341798.104,81952265.17,133406071.915,92600674.772
"PE(42:1)",8718799.531,9971455.602,1.6e+07,1.4e+07,2.3e+07,24200000
"PE(42:10)",2738114.907,4628161.6,4684787.309,3976281.443,7360454.249,3877530.088
"PE(42:2)",23800000,32500000,37900000,5679219.258,6118609.851,5715016.986
"PE(42:3)",4631299.421,8946803.823,8434128.674,3199949.656,4334589.795,4803564.634
"PE(42:4)",2617589.2072,3597906.019,5224483.524,1764243.8022,4777950.1501,2154519.8913
"PE(42:5)",12193873.746,17099290.935,25243713.086,16299698.527,28170880.611,27651412.285
"PE(42:6)",13908847.843,19575763.47,29315737.439,27827983.556,37373662.351,28908311.768
"PE(42:7)",32106312.046,37086515.892,53530307.649,35415214.681,50154356.416,46873277.942
"PE(42:8)",50374.1667,62126.7204,32099.9109,712875.3987,1464490.023,1476872.952
"PE(42:9)",1316654.505,2414141.226,2473091.469,3306722.425,5336161.368,3302746.16
"PE(44:12)",168734.689,374957.868,454825.302,725343.428,1153331.787,555314.68
"PE(44:2)",2311043.72,3244344.571,3755008.811,574569.268,480021.777,789484.477
"PE(44:4)",992786.844,1995352.971,1727480.326,718966.01,954221.176,863687.044
"PE(44:5)",2054463.1,3084398.22,3391588.338,1391034.718,4048334.755,1495194.699
"PE(44:6)",2316589.018,4635561.049,5407038.911,1158989.162,1956791.236,1140330.611
"PE(44:7)",2357130.672,4820963.141,5364720.181,1710753.434,2198155.924,844279.682
"PE(46:7)",1025772.5,1773136.297,2030357.206,129474.954,324862.808,44538.883
"PG(30:0)",2700439.005,3969482.685,5258693.592,3036883.43,4208778.095,4390157.273
"PG(32:0)",25900000,28300000,44300000,23800000,27800000,35700000
"PG(32:1)",4432501.217,8278948.0465,10885059.9251,5352864.4062,11425498.3931,10212645.764
"PG(34:0)",1958492.015,1734303.18,3655425.271,1325033.262,1806393.038,1836708.083
"PG(34:1)",152700000,231700000,294600000,153900000,198200000,171400000
"PG(34:2)",1822648.368,3908573.22,5509946.702,2655826.327,3865323.533,3376393.685
"PG(36:1)",23900000,39600000,40600000,15300000,23500000,1.6e+07
"PG(36:2)",143500000,182700000,230600000,9.3e+07,128400000,103900000
"PG(36:3)",7333089.849,13400000,17900000,4873565.737,7614866.339,4309148.213
"PG(38:2)",1731459.939,3029914.402,3552876.554,970763.1549,447037.5906,1347398.953
"PG(38:4)",3977264.238,9299714.556,11600000,4330935.838,9317853.827,5055982.503
"PG(38:5)",2.7e+07,2.8e+07,33100000,21800000,37200000,47300000
"PG(38:6)",2827000.818,5113464.369,6257279.992,5710675.762,9563777.973,5645104.728
"PG(40:5)",3916821.257,6322679.662,1e+07,6686051.764,1.1e+07,6883061.875
"PG(40:6)",8047656.851,6798046.385,12800000,7324050.81,12200000,14700000
"PG(40:7)",53029342.6396,93096104.327,124039725.9478,81093950.5519,133593337.618,73554199.6794
"PG(40:8)",2012918.792,1991677.569,3104196.489,1572158.147,2651329.961,4208312.031
"PG(40:9)",90180.088,256734.667,75552.7164,699798.534,1376825.378,740642.324
"PG(42:10)",4470861.467,3963315.849,5536788.856,3357522.542,5974615.233,7072585.298
"PG(42:11)",328440.854,590700.833,766655.508,548981.992,1043587.154,1175872.922
"PG(42:8)",541983.746,1299567.925,2048054.023,2306630.5577,5711243.047,2513894.317
"PG(42:9)",2864368.62,1692264.683,2457440.742,1502585.695,2768993.019,3031332.727
"PG(44:10)",1007444.68,1294494.61,2736443.309,5582025.657,9728344.098,5377078.171
"PG(44:11)",2722777.39,2296986.624,3134131.802,2294356.236,3509508.009,4152119.204
