"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1+2i_1","COS7OADGAT1+2i_2","COS7OADGAT1+2i_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"PC(14:0)",58497179.432,86157895.3585,100069930.13435,76906497.75575,58433730.10085,96125367.6554,79891740.9575,45559627.165,83811125.386,64834900.6845,84450000,60660099.73835
"PC(14:1)",194100000,142300000,232700000,259550000,105100000,3.24e+08,152200000,353500000,162250000,166400000,290500000,292200000
"PC(15:0)",1360352971.312,1898975485.654,2143100000,1725426186.0425,1352696308.324,2028916370.565,1931518266.376,1518573871.372,1947300000,1432753005.8705,1977850000,1691300000
"PC(16:0)",3619622472.533,4913574437.20435,5809491141.78235,4220149876.07,3310822144.1156,4949316340.179,4469749027.8275,3223908859.4188,4288666045.31315,3282594478.58315,4383723918.5079,4152064370.05265
"PC(16:1)",574710500.464,915037500.24235,1102190757.31035,704799931.9763,618818701.6025,939504114.9435,888492747.688,528389422.0689,890540263.764,627048899.3945,898244635.5405,693601048.2305
"PC(17:0)",131200000,1.26e+08,173500000,157050000,92250000,2.03e+08,1.41e+08,185600000,142500000,107250000,186500000,188500000
"PC(17:1)",8.4e+07,9e+07,1.32e+08,116500000,6.1e+07,155500000,6.9e+07,1.59e+08,78500000,9.3e+07,151500000,1.69e+08
"PC(18:0)",978284838.799,1106678635.476,1516796743.6025,1326846155.5665,750335593.2579,1462950000,1102743833.9909,1309060730.272,1222725790.2645,868044634.6775,1478392534.2025,1353327645.913
"PC(18:1)",9028326406.0275,12538295061.6355,14691316573.9956,10759960265.9282,9303470780.3976,13501204476.8333,12377989595.7442,9590518874.58705,12657532601.6535,9414759876.43075,13228074035.1755,11145323084.503
"PC(18:2)",952050000,1413900000,1667650000,1.097e+09,957400000,1459600000,1221100000,756300000,1157700000,880600000,1083700000,958350000
"PC(18:3)",288600000,301250000,294400000,429050000,320889314.10235,412850000,336150000,348550000,365850000,296550000,2.51e+08,260650000
"PC(18:4)",7074900.734,10078635.476,15896743.6025,15079535.674,7413384.59305,19150000,8243833.9909,17450000,9475790.2645,9588766.742,16942534.2025,17733494.3385
"PC(19:0)",9200000,418157.2818,2316910.5745,15400000,6550000,7300000,8200000,6700000,7600000,7900000,2957249.435,167060.38875
"PC(19:1)",90702971.312,69825485.654,125550000,135150000,62995359.3765,191666370.565,79968266.376,211900000,86550000,74536047.606,143550000,150750000
"PC(20:0)",35830185.6015,29050000,44500000,59314740.8995,30534953.0965,60300000,3.6e+07,55346757.9725,44400000,25279517.2715,52400000,50943302.6305
"PC(20:1)",740900000,590350000,1.141e+09,1034400000,432550000,1655050000,646100000,1692970892.917,560400000,583082551.0265,1225550000,1438428929.047
"PC(20:2)",415250000,375050000,575950000,475300000,259100000,633450000,365100000,527950000,353100000,302500000,540150000,616450000
"PC(20:3)",65950000,99400000,120500000,84150000,70150000,123100000,130082368.36305,107150000,141300000,90700000,149050000,120350000
"PC(20:4)",359988989.7245,494601286.798,551723616.185,415264740.8995,353984953.0965,538750000,506850000,333496757.9725,567450000,358355289.217,585600000,429593302.6305
"PC(20:5)",9813737.7345,1.9e+07,20600000,13650000,11450000,17900000,37800000,21950000,41150000,26200000,4.1e+07,30250000
"PC(21:1)",15250000,16350000,25950000,8850000,3895543.878,1740427.5015,5100000,1237746.784,5200000,21800000,33600000,40550000
"PC(22:1)",1168521.856,2176510.218,2121231.35,488761.9737,1353168.208,2302835.991,1211718.3095,507932.1089,1818220.40415,734013.32815,1600671.3249,602318.73385
"PC(22:2)",3208804.123,4401286.798,5850000,17800000,8300000,15900000,11700000,17650000,10700000,3525771.9455,5800000,7900000
"PC(22:3)",551010.598,692408.127,711314.7305,461547.923,501740.2625,699491.7735,594475.947,355579.877,753629.8855,466220.5935,570876.0915,516452.7735
"PC(22:4)",34450000,38950000,56150000,53400000,32800000,75150000,78100000,88950000,84300000,58100000,88950000,74500000
