"subclass","I1_0","I1_2","I1_7","I2_0","I2_2","I2_7","I3_0","I3_2","I3_7"
"PG(18:1)",29451,61450.5,113585.5,21710.5,55693.5,129934.5,21039.5,50189.5,126789.5
"PG(22:5)",409,5046.5,11214,614.5,4299.5,11473,652,2702.5,16032
"PG(22:6)",10735,44991,124121.5,2363.5,34927.5,96868,2119.5,25562,169630.5
"PG(5:0)",40221,44667.5,25692,35475.5,40910,29980,28347.5,34905,31975
"PG(9:0)",40221,44667.5,25692,35475.5,40910,29980,28347.5,34905,31975
"PI(16:0)",12049.5,16520.5,65171,4992,30645,59925,10249.5,23893,56810.5
"PI(18:0)",51162.5,142160.5,270118.5,35387.5,164400,261303,38906,104872,200223
"PI(18:1)",8065,21455.5,34073,8059.5,35589,50722,11273,27690.5,50574
"PI(20:3)",1094.5,6813,25891.5,207,8501.5,35064.5,901.5,4678.5,23162.5
"PI(20:4)",62739,169016,298975.5,45519,207018.5,296378,52148,138606,247986
"PI(22:5)",7443.5,4307.5,44495.5,2713,15114,40507.5,7379,13171,36459
"PS(16:4)",9,1283.5,27046,NA,2063.5,22467.5,NA,315,30035.5
"PS(18:0)",11744.5,34542.5,92022.5,14334.5,33707.5,142326.5,8288,29359.5,198017
"PS(18:1)",1934,17717.5,39267,6515.5,19407.5,79291.5,4064,13335,75702
"PS(20:0)",22347,5288,5569,2736.5,14390,23504.5,6126.5,9910,65102
"PS(20:4)",9810.5,16825,52755.5,7819,14300,63035,4224,16024.5,122315
"PS(20:5)",22347,5288,5569,2736.5,14390,23504.5,6126.5,9910,65102
"PS(24:1)",9,1283.5,27046,NA,2063.5,22467.5,NA,315,30035.5
"SM(11:0)",52559,63168,119693,24514,63975,87415,32918,42676,231436
"SM(13:0)",11669,1202,32048,18,1709,24151,615,1201,48469
"SM(13:1)",15009,123511,101466,54363,86269,39321,55518,37500,69650
"SM(15:0)",112562,109752,408421,31937,95742,342627,56378,66102,717552
"SM(15:1)",15437,18066,80714,5768,17773,73221,10887,16956,128239
"SM(16:0)",552617,752106,3351754,405898,764955,2513474,439085,601739,4209322
"SM(16:1)",8824,371,18053,4300,8143,11251,6351,9541,14233
"SM(17:0)",7632,21940,96959,2651,25956,96109,8559,6553,99553
"SM(17:2)",109150,15338,61753,48093,67148,11269,44876,62841,68847
"SM(18:3)",9901,18932,44565,9216,17907,36155,13395,15815,51053
"SM(18:4)",34998,127906,770993,52119,142806,593284,75185,75114,902788
"SM(18:5)",776921,372255,427840,305992,841740,705212,335424,151287,377629
"SM(19:1)",43049,91364,261335,35478,101318,218460,49971,50534,427689
"SM(19:2)",7309,25842,71862,9606,22669,58809,12183,7784,92067
"SM(22:0)",56885,52096,274353,45783,75570,230080,79157,65032,315093
"SM(22:1)",4700,21963,41594,10634,12250,42826,9539,17721,61384
"SM(22:2)",103841,75633,130805,60050,76730,86207,45443,69779,128331
"SM(22:4)",169797,20801,18864,17203,12801,8082,11915,16255,72161
"SM(22:5)",30637,9091,22283,11375,7983,8728,8669,3138,20622
"SM(22:6)",120648,50987,27906,6984,60557,34862,38452,14016,69191
"SM(23:0)",22485,67770,195244,27139,66657,168647,34278,53488,195667
"SM(24:0)",162891,188995,789079,113536,258174,709017,161374,125462,965726
"SM(24:1)",75114,112557,409794,55135,148150,303552,64837,115728,427006
"SM(24:2)",28319,20348,47040,35983,24741,34143,35323,54955,69593
"SM(24:4)",36964,3889,6351,5742,2623,5289,3845,3977,16534
"SM(26:1)",26652,42156,46956,41408,78518,66791,68546,40830,99119
"SM(26:4)",20918,21169,37675,8694,20232,58190,20033,22050,52380
"SM(28:1)",1923,70053,17059,20313,61052,12764,25068,6217,25836
"SM(28:2)",163104,157886,987866,109629,149543,904348,129106,189304,1136382
"SM(28:7)",121412,8245,10504,3546,8698,5552,10752,11726,67518
"SM(30:1)",16948,36642,67093,6273,35361,55641,12210,19008,95069
"SM(30:5)",31755,81779,316409,17832,63213,281288,27738,50648,401183
"SM(30:6)",58571,579,NA,18,150,185,1015,NA,8574
"SM(32:2)",45810,15822,37929,26164,30828,42184,29486,11137,15712
"SM(32:7)",16879,12548,14356,12610,10414,17152,16770,14189,16567
"SM(32:9)",28973,3825,20995,20748,18464,5594,10521,13733,80786
"SM(34:9)",85873,11588,3374,4769,6607,5192,3448,1657,37004
"SM(d14:0)",203683,240036,1322328,131761,220899,1196887,163195,249493,1551798
"SM(d14:3)",176954,99024,172973,94611,163321,170395,121778,84708,299260
"SM(d15:2)",183664,25380,22432,17449,17002,9401,12620,16793,75629
"SM(d15:3)",69330,105693,102966,63918,103746,69175,70459,75539,142129
"SM(d16:1)",56099,5459,6821,1652,3016,1876,3279,4810,20569
"SM(d16:2)",5806,15987,70526,9496,17092,64294,5700,10700,90783
"SM(d17:0)",105466,95428,267750,35955,99796,223529,57349,41988,465257
