"subclass","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","QC-1","QC-2","QC-3","QC-4","QC-5","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8"
"LPE(16:1)",5571024,4029427,4022372,3950695,5674512,3277542,4382880,4038572,3599375,3358721,3693591,3084098,3661682,2438716,2600856,3054197,3567542,2566527,2909480,3150231,4021222
"LPE(17:0)",2458575,1611736,2256074,1811937,2416687,1164294,2787611,1766198,1493870,1536696,1243230,1364070,1413839,344107,788186,1120519,801565,752121,975294,1269660,1110889
"LPE(18:0)",189915387,146646026,149666350,149516253,189240560,96468040,1.76e+08,168724547,118296765,118674055,108409495,113251295,106635706,28180546,57033139,67309648,55544568,53944159,81517242,80230001,77535355
"LPE(18:1)",4.8e+07,3.5e+07,3.7e+07,3.9e+07,4.7e+07,2.9e+07,5.5e+07,4.1e+07,3e+07,3.1e+07,3e+07,3e+07,2.7e+07,1.2e+07,2.1e+07,2.6e+07,3.2e+07,2.3e+07,2.5e+07,2.7e+07,2.8e+07
"LPE(18:2)",4.6e+07,2.9e+07,3.8e+07,4.5e+07,5.4e+07,3.3e+07,9e+07,3.1e+07,4.2e+07,4.4e+07,4.4e+07,3e+07,2.9e+07,5753671,2.8e+07,2.1e+07,2.4e+07,1.9e+07,2.9e+07,2.5e+07,2.5e+07
"LPE(18:3)",926941,545507,642681,598576,811621,354199,927034,558971,407413,459737,387738,170831,400547,35903.9,148602,165730,132897,135994,298154,210263,213437
"LPE(19:0)",1100732,788216,978854,1050543,922442,723721,1203339,801541,776034,689637,736189,313192,744346,130737,348172,466110,429109,375041,447938,494923,734366
"LPE(20:1)",1401976,896395,1083154,1051112,1092500,786205,1458632,1003762,855713,930490,743952,759644,884437,221699,629427,863441,795516,629546,618257,814980,861801
"LPE(20:3)",1304098,761209,804585,1142167,2180079,1271423,1989547,1121360,1088968,907845,819728,257283,947802,465274,500705,531786,950749,657677,603176,877675,829411
"LPE(20:4)",6e+07,2.5e+07,3.7e+07,4.4e+07,5.8e+07,2.5e+07,6.1e+07,4.8e+07,2.1e+07,2e+07,3e+07,1.2e+07,2.8e+07,1.4e+07,9605701,1.9e+07,2e+07,1.9e+07,2.8e+07,2.7e+07,1.9e+07
