"subclass","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8"
"TG(14:4)",9e+06,8e+06,13333333.3333333,16333333.3333333,13666666.6666667,2.3e+07,2.2e+07,2.1e+07,21333333.3333333,19666666.6666667,10333333.3333333,1.5e+07,10666666.6666667,12333333.3333333,8e+06,14666666.6666667
"TG(15:0)",13657666666.6667,14351333333.3333,16363666666.6667,14664666666.6667,15164333333.3333,1.5828e+10,1.4417e+10,1.4239e+10,17176666666.6667,1.7254e+10,1.7305e+10,19343666666.6667,15460333333.3333,17259333333.3333,1.7683e+10,18866666666.6667
"TG(16:0)",209405771435,227826605817.667,236614788808.667,213355009464,2.33298e+11,256929333333.333,215185540820.667,264844333333.333,251215666666.667,257237666666.667,211293496002.667,264970340959.667,2.19556e+11,210984812011.667,208186837055,227508778481.667
"TG(16:1)",94642279753,7.5973e+10,86077333333.3333,82130305082.6667,86782666666.6667,8.5375e+10,90380889677.3333,6.3918e+10,57963333333.3333,65015666666.6667,8.8878e+10,64628333333.3333,78472333333.3333,8.0873e+10,88955666666.6667,1.03933e+11
"TG(17:0)",24526666666.6667,22565333333.3333,2.6253e+10,2.2222e+10,20935666666.6667,2.7485e+10,2.5738e+10,23967333333.3333,2.2779e+10,29033333333.3333,24885666666.6667,23999666666.6667,2.6102e+10,2.4037e+10,27569333333.3333,2.503e+10
"TG(17:1)",3400333333.33333,3449666666.66667,4.139e+09,4076666666.66667,3965666666.66667,4124666666.66667,4.272e+09,3673666666.66667,4.181e+09,4.779e+09,5212333333.33333,4806333333.33333,4.909e+09,4955333333.33333,4.892e+09,4.949e+09
"TG(18:0)",48271333333.3333,5.4227e+10,4.613e+10,47609333333.3333,49455333333.3333,42147666666.6667,51371333333.3333,51210333333.3333,46679271819.3333,47985994351,43900540155.6667,48456314813,54196666666.6667,45011593498,48237418000,51049760270
"TG(18:1)",5.00501e+11,472300613115,481140666666.667,495052059839.333,510018333333.333,504674333333.333,506187729786.333,526788333333.333,451262271819.333,465400327684.333,460336710819.667,489177640520,424528886060,441249422115.667,463063632084.333,526668848535.667
"TG(18:2)",235763895373.667,233860528141.667,242981199306,263549666666.667,265857220325.333,279216666666.667,2.28843e+11,269417666666.667,225210990525.667,261636333333.333,238303328522.667,262418666666.667,192481794946,247286363257.667,241097929658.667,251967666666.667
"TG(18:3)",134267666666.667,128083666666.667,127490443365,1.47597e+11,160511666666.667,163231333333.333,119331912900.667,177756892229.667,1.38958e+11,1.74289e+11,1.12292e+11,159621333333.333,1.13557e+11,1.19859e+11,115667333333.333,126199333333.333
"TG(18:4)",1424025594,2124247869.33333,2652894404.33333,3600323940,2922333333.33333,3693666666.66667,2727135681.66667,3265333333.33333,3.756e+09,3679666666.66667,3.236e+09,4.33e+09,3327666666.66667,3589666666.66667,3400666666.66667,3.849e+09
"TG(19:0)",6381062759,6699682552,8.112e+09,9.316e+09,7.704e+09,6928666666.66667,8.696e+09,8.478e+09,7372333333.33333,7.431e+09,7898360193.66667,7872333333.33333,8026040563.66667,7159363578,7848485210.66667,8.654e+09
"TG(19:1)",5551666666.66667,3.81e+09,5.813e+09,6.262e+09,5801333333.33333,5.795e+09,5.939e+09,5.404e+09,3698666666.66667,4814666666.66667,6454666666.66667,5787333333.33333,4.055e+09,4397333333.33333,5347666666.66667,4264666666.66667
"TG(20:0)",5628666666.66667,8.145e+09,5638333333.33333,6.006e+09,7.881e+09,7962666666.66667,6.387e+09,5301666666.66667,7216333333.33333,8.207e+09,7220666666.66667,7.878e+09,5998333333.33333,5142666666.66667,4898666666.66667,8179333333.33333
"TG(20:1)",12646666666.6667,11793333333.3333,14856666666.6667,14386666666.6667,13133333333.3333,1.398e+10,16456666666.6667,1.381e+10,1.18e+10,1.42e+10,10933333333.3333,12466666666.6667,15526666666.6667,13473333333.3333,12083333333.3333,1.371e+10
"TG(20:2)",3.27e+09,3365666666.66667,3.165e+09,5.71e+09,3.366e+09,4364666666.66667,3383333333.33333,6364666666.66667,3.695e+09,4.04e+09,3.199e+09,5.7e+09,4364666666.66667,3.096e+09,2690333333.33333,3.3e+09
"TG(20:3)",7.498e+09,7507666666.66667,8504199306,9.162e+09,7114220325.33333,11546333333.3333,8839666666.66667,1.0851e+10,8824666666.66667,9523666666.66667,8467333333.33333,6493666666.66667,5395333333.33333,8510666666.66667,8.524e+09,5.299e+09
