"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","DGAT_1i_001","DGAT_1i_002","DGAT_1i_003","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"LPE(18:1)",13708689.684,25589004.009,18725734.053,14126456.973,16251865.842,20945009.922,20030847.992,20310485.842,27047530.544,18503801.867,18389353.343,22853698.166
"LPE(18:2)",2757876.818,5165939.824,3296718.737,3377221.871,4184540.73,4503007.493,5536028.432,6095116.442,7339794.452,3309259.809,4116631.272,4183748.503
"LPE(20:1)",5728067.92,7269739.043,5963391.502,6381095.113,7106221.2282,8343321.34,7270045.313,6293591.902,6487161.255,5390672.95,6762463.811,6315720.863
"LPE(20:4)",1942785.23,3911584.334,4480161.361,1622892.419,1766456.945,2082444.42,3529754.362,4047294.6,3169104.514,4013023.057,3933099.584,4388494.598
"LPE(20:5)",225325.049,369481.7637,261996.2424,22530.462,101506.314,183437.39,120845.2761,279264.413,64596.0006,334328.462,353299.811,499795.867
"LPE(22:1)",7434.1353,266946.406,274207.641,10469.2848,322617.379,378494.329,370287.9942,475087.283,337552.47,276974.127,468175.891,363705.096
"LPE(22:5)",1059560.085,14044.3707,473108.534,943981.535,937328.123,1194186.29,1521458.556,159959.6832,1565209.956,1013596.629,1234257.272,64142.0451
"LPE(22:6)",1882218.596,3396948.831,2803551.085,689444.841,2185551.166,2959866.956,3430093.045,2819467.813,2346470.371,2816093.736,2593182.592,3296944.087
"LPG(18:1)",584533.876,1096828.461,595351.843,626277.333,643102.414,860961.08,846226.479,764208.862,815356.433,450285.59,568956.285,547577.317
"LPI(18:0)",59004.3,623864.31,387869.2173,7497.3606,57989.3661,314554.239,449586.694,642282.25,776427.028,111165.3978,297876.06,158074.2864
"LPI(18:1)",10889.6778,2069.2854,14433.7377,46496.6394,5578.4247,34026.3147,390714.21,14202.3411,20778.5466,4908.7803,289052.633,1628.1282
"PA(36:1)",854367.377,1377878.969,1054172.511,1005888.579,1004712.238,1254722.95,1340039.373,1960585.145,1540130.132,1402152.234,1183747.738,1439106.964
"PA(36:2)",99819.3174,167839.9299,230768.0232,178748.2737,12542.5065,323084.309,217591.934,173870.095,299786.017,66742.3293,180837.961,136824.076
"PA(38:1)",478571.298,582248.1696,350212.464,6540.657,235055.22,3147.8019,5627.0193,721431.5622,33495.1221,86442.5061,565188.3594,1031238.9
"PC(28:0)",1870104.904,1425538.818,1384128.814,2307509.626,1793664.396,3025284.316,1291705.877,1128815.883,1508548.37,1148323.302,1041279.627,1777984.946
"PC(28:1)",693751.8195,13200000,1.3e+07,9525862.775,213280.5513,1.1e+07,724119.6072,825287.1366,152026.857,440541.5496,963320.6088,615205.8393
"PC(30:0)",38700000,38100000,40600000,29400000,36100000,41400000,43300000,4.6e+07,44600000,44400000,4.7e+07,40900000
"PC(30:1)",41372334.314,45992890.729,42600590.89,37279878.41,40087735.886,55386017.985,30803829.983,33312055.394,29139968.564,31290856.105,31563403.273,32715946.05
"PC(30:2)",1162519.519,1673828.127,1080006.791,495166.2501,1275595.051,1968509.688,700185.777,950335.57,763906.044,500625.958,1420513.79,706572.56
"PC(32:0)",265400000,291600000,256600000,259600000,261400000,324400000,345900000,348600000,2.77e+08,324200000,290200000,3.26e+08
"PC(32:1)",206200000,212600000,199100000,181600000,202700000,217700000,317500000,326800000,294700000,204800000,299946770.037,3.01e+08
"PC(32:2)",54556835.453,65286450.768,50005298.633,52582045.28,48487132.782,66072976.219,29969012.831,26169584.919,30194784.355,25542779.878,33588219.963,33222688.536
"PC(32:3)",1190722.827,1190207.816,15494.769,431207.048,123775.533,1412820.367,915332.971,595067.811,307639.703,703753.488,960621.755,13912.1421
"PC(32:4)",617749.778,668012.332,685222.3278,113657.1678,504751.331,835016.787,284953.12,207709.016,338253.5766,478222.878,399254.131,345206.355
"PC(32:5)",2181038.57,521628.0588,1456206.451,128174.2218,2337928.05,1887514.659,5579183.22,876703.2261,611332.1376,3422592.079,707563.7526,7762914.633
"PC(34:0)",153200000,185500000,191300000,155500000,161600000,217500000,165700000,165500000,138500000,178900000,170800000,168700000
"PC(34:1)",1150798830.333,1200896652.235,1026241666.985,1085294148.604,1101295548.938,1363808171.487,1217657422.282,1408489888.255,1324314359.637,1196918438.0822,1242544056.9636,1360025401.049
"PC(34:2)",591627641.686,636276953.855,575888450.025,634673382.633,577459251.819,636014058.216,571668026.138,443299363.121,422426936.96,402928330.054,416125091.448,444438329.728
"PC(34:3)",14995026.471,14505737.928,16281696.436,11585138.978,13933720.288,14439586.441,10924942.631,10802031.649,10425246.459,6883834.2417,12840354.207,8845481.782
"PC(34:4)",1091691.715,1033743.902,1112956.569,918933.095,671597.9962,1145085.183,788593.9245,1054151.5607,997588.565,1226581.745,1112543.419,1097183.5596
"PC(34:5)",578550.533,902672.181,859523.86,640800.184,554130.291,823160.653,751423.034,823421.435,691796.966,900132.973,927483.441,763489.187
"PC(34:6)",8303599.5782,11728505.7819,9623333.8507,7761365.7098,10702620.3347,9529161.0695,9537834.6247,10014392.812,7752207.4085,12736428.0358,13096868.1604,14032888.1321
"PC(34:7)",487063.7676,2424150.949,3257053.711,1812842.737,3641956.11,1565532.208,4583767.37,3594738.317,3134333.848,1321026.348,1950529.424,24281.919
"PC(36:0)",13409074.91,18442390.472,17803793.361,12534434.392,14111539.792,19045965.021,16573654.916,15214984.269,13576879.865,16199463.152,15293198.922,15703236.516
"PC(36:1)",241055766.0977,247188232.3903,298277418.638,204541643.216,233935529.243,306938040.831,193240259.719,264974192.542,283589147.928,221361781.8685,277342310.591,269780674.54
"PC(36:2)",362436541.5233,340851539.6392,279690411.422,280455184.926,223304583.8545,412522253.5894,308242860.293,329617561.884,304122061.5399,298602703.4721,310921967.87,307412636.297
"PC(36:3)",181281996.666,179121676.147,167589347.777,140821339.207,140595555.6855,172720152.1081,168516750.892,182776624.414,160024496.599,145202152.365,166127481.211,157849599.263
"PC(36:4)",26840666.843,28739100.279,27716124.07,19475393.912,24111505.467,28660937.432,38690801.222,39882054.807,38332251.749,39072503.425,45556638.885,39380649.594
"PC(36:5)",53237864.827,51373039.221,45934261.226,57885412.082,63939531.211,48210676.607,57209567.826,56655356.144,50770777.298,61567905.261,58454428.218,52377439.084
"PC(36:6)",14211155.493,14717967.236,12527280.627,10972454.9248,12762180.723,14495206.9572,13276791.5665,14226122.187,13642144.3357,15114168.6962,13310563.0803,14018407.7487
"PC(36:7)",18700000,22900000,21600000,20900000,23600000,27500000,22600000,22200000,20500000,23300000,27600000,22300000
"PC(38:1)",7717135.8334,10239399.48,7402666.9135,7281826.065,8413657.434,14700349.653,7632235.602,8920976.878,7168940.761,7977173.458,9336175.149,8862029.726
"PC(38:2)",280644423.7913,303209558.348,251245248.5017,143459589.1085,164802761.5123,180065594.367,121479720.354,136207996.076,116691479.0021,116655295.5164,120375162.5522,119074512.815
"PC(38:3)",32808638.982,35424929.556,32249107.156,16780554.931,18906920.742,18419457.33,20298208.917,21259707.496,19358769.448,16244312.857,17887884.694,20700000
"PC(38:4)",158114220.825,168098816.4798,154754362.625,112101616.46,125795650.794,143499262.711,145514339.386,146971966.9775,140471643.43,117998750.2872,132821679.1969,135569833.0888
"PC(38:5)",186994646.4555,195128702.88,175866418.128,125094269.301,145057034.611,149240579.1788,151805651.8007,158571027.0215,146052707.5919,138098484.3646,142298021.4861,142821389.0537
"PC(38:6)",49477199.2468,52059420.26,49837995.126,43265028.8827,55878139.8383,59047493.6952,54441495.7675,55059883.9694,50109609.5007,51888100.4162,56530817.4145,53266323.934
"PC(38:7)",18490022.942,19821309.792,15326923.789,20076534.663,22640176.486,25072063.423,23009702.472,22613733.4169,19793653.2414,20909687.493,21411628.363,20833097.697
"PC(38:8)",11327.1564,136601.0724,37306.6956,168590.661,49598.8242,148600.5258,160167.2571,263649.246,112040.1993,227018.2995,105128.757,198601.794
"PC(40:1)",363964.3232,1031871.9754,1322186.0387,317527.2422,271404.6252,702523.635,693426.7838,51250.413,938132.8214,911140.999,950387.244,644200.2965
"PC(40:2)",17200000,21100000,20200000,5368869.473,5654380.283,7482326.058,4046405.798,1991430.054,4500068.87,4213216.814,5328099.014,5033436.778
"PC(40:3)",2263751.69,2793855.718,2332284.11,594432.736,371315.726,647931.59,1472.4648,884969.664,876936.398,799716.195,41956.2516,946302.181
"PC(40:4)",11266279.0811,16700229.154,13078143.1823,9354931.4139,11170226.402,13715287.955,9926473.1137,12199326.8713,9767510.2229,10006360.2323,11635062.933,11923132.0031
"PC(40:5)",75056643.0424,72944712.803,67605479.5493,30454160.075,34189171.6662,36784243.2388,21740904.944,22876965.9072,19491606.3952,19496078.512,16439861.3758,21995813.1936
"PC(40:6)",97448118.816,105297869.195,102103896.943,56328607.581,68935637.831,71686649.946,62290730.446,65440211.201,60365270.635,60186219.968,63303373.144,60435649.49
"PC(40:7)",146148849.8886,137920131.0576,131508697.8742,52533047.992,61644910.006,68354075.9019,58381455.7286,63911661.971,60672340.0766,47408148.7513,54043310.951,56720294.9657
"PC(40:8)",11071369.175,10876365.058,8099016.734,7314277.726,8101447.7167,11277625.174,7944844.8059,8157375.2259,7677209.1708,6859172.41,8231041.177,7669255.96
"PC(40:9)",2492399.414,1450280.095,2337457.501,3783594.241,8969284.546,4350857.36,4081049.229,4747711.007,2544733.01,3723018.747,6245450.237,5434815.199
"PC(42:10)",2321595.097,2775656.191,2428859.162,1013369.71,1373656.67,1382629.145,1854307.669,1664321.582,1822458.873,1677498.658,1834571.956,1659216.156
"PC(42:2)",264851.809,322556.296,413736.4728,86124.7758,51106.8093,78615.557,264445.617,256151.1597,74791.653,86649.6612,150567.1992,11984.1624
"PC(42:3)",429857.702,63270.0645,363328.893,NA,91701.117,191926.877,40458.437,31805.551,10736.418,102908.179,58899.8,29982.308
"PC(42:5)",976884.674,1760675.411,1744810.497,1551833.894,1642978.695,2543169.513,1312116.035,2227139.444,874450.603,1310272.238,1973057.709,2049584.504
"PC(42:6)",2928851.994,3732081.559,2868179.786,3393874.554,3326577.518,4110694.027,3674742.212,3608399.07,4182518.333,3556516.402,3993622.634,3896187.797
"PC(42:7)",119040.282,387938.653,241617.389,203907.364,252035.782,358506.243,462583.779,401541.737,322616.683,632680.033,405049.046,349124.548
"PC(42:9)",920415.61,1348857.076,775820.933,424836.304,336694.591,650441.942,924223.247,741240.494,769291.532,844315.894,936119.162,1135718.904
"PC(44:10)",24124.5384,332420.96,214301.8173,24683.4048,78689.076,224909.309,160337.354,144825.9096,77423.0355,72282.9552,153048.7527,29907.4749
"PC(44:11)",324221.34,310174.3245,244091.94,138469.644,183834.611,222276.859,229453.291,139338.522,270009.376,314083.46,185766.767,169050.193
"PC(44:12)",422906.734,449676.117,499312.788,151121.646,28584.2523,247704.235,329715.927,330115.59,323599.165,302412.644,475300.402,29079.8502
"PE(28:1)",636381.187,711896.066,608520.822,763315.595,691397.215,1235267.706,637381.776,470884.909,586050.778,749755.677,607954.573,702902.011
"PE(30:0)",4965774.402,7105544.9719,5477878.6343,4396217.191,4633714.3195,6035940.939,4587432.45,4400944.5052,4109927.059,5822603.214,4959317.1507,5417762.658
