"subclass","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"PE(38:1)",51731649.458,52871872.59,53125435.835,49675582.075,59775042.381,58030231.06
"PE(38:2)",215835507.94,230825922.371,219864270.559,215567175.2459,246239162.3061,270120861.5058
"PE(38:3)",38041293.5499,65706355.248,71234104.545,69224721.5871,73331675.2438,70669200.5496
"PE(38:4)",526419759.3326,508735366.0936,498160181.389,544194552.049,605957911.977,589463662.8009
"PE(38:5)",2236482162.7184,2222638541.257,2049603047.8242,2297091112.3445,2447274419.196,2338545979.9625
"PE(38:6)",1845125805.6414,1607980048.503,1541587543.885,1748137462.119,1809867101.6685,1344231930.908
"PE(38:7)",243214844.163,235919640.501,232620836.399,239711644.5854,266258639.728,215888992.8432
"PE(38:8)",1555113.898,1457715.828,1613959.437,1437516.918,1449285.94,1680315.821
"PE(40:1)",5928212.478,6592723.041,6257365.684,5010207.219,5950428.989,7214884.065
"PE(40:2)",41843639.177,41952145.0271,44571600.155,44485004.94,52622997.026,53867149.269
"PE(40:3)",3255960.2306,4355778.4292,4786163.1818,4288394.9468,5349570.74,5544340.0197
"PE(40:4)",35439778.783,37007985.469,36119452.2679,35368624.255,40844146.6045,41871065.4391
"PE(40:5)",672358162.1747,657121814.1333,631044231.3554,680685895.705,741460915.8385,694248139.0484
"PE(40:6)",1592674721.994,1619643848.3006,1500900244.0923,1643151950.8414,1864688153.708,1693445674.0676
"PE(40:7)",1681720703.393,1613327759.565,1526954296.935,1855631824.441,1962454548.967,1819402147.773
"PE(40:8)",185264227.305,176530753.954,166154480.512,171462977.759,187021431.819,177271255.557
"PE(40:9)",495512.129,793951.041,405981.091,374359.214,913957.84,503111.743
"PE(42:1)",275409.598,200845.721,274826.972,236509.72,148068.2895,397017.93
"PE(42:10)",18900000,17900000,16300000,18700000,18500000,17600000
"PE(42:11)",1364490.741,1143140.944,687134.4456,1266708.714,1089194.293,995622.253
"PE(42:2)",532331.623,706149.661,127044.6924,176805.0294,691663.666,732490.387
"PE(42:4)",414628.401,448569.666,368407.539,396621.927,380047.2687,349832.7795
"PE(42:5)",7516244.386,7423173.372,7685268.568,8567073.914,8982222.163,8151567.291
"PE(42:6)",15774016.3149,18020680.308,19120760.7639,19209383.932,21141353.8471,21027689.2526
"PE(42:7)",7000338.3598,6017546.3303,7053433.7566,6926486.6874,8410058.2648,7390500.3139
"PE(42:8)",1317466.85,1303592.084,973390.052,1340874.501,1249815.172,1446565.521
"PE(42:9)",7395818.075,15400000,5427553.644,7464156.92,7043973.423,6750078.831
"PE(44:11)",273315.881,153346.548,166986.11,19307.0664,223016.568,266740.374
"PE(44:12)",652500.02,624590.643,390946.33,628093.819,530875.983,607721.279
"PE(50:2)",91291.547,283882.98,294133.256,97665.37,161960.262,359138.103
"PG(28:0)",254288.285,176320.746,240525.068,366881.018,367567.998,610113.613
"PG(30:0)",2349942.256,2256441.076,2653112.201,2036770.142,2322498.45,4235612.205
"PG(32:0)",25100000,24200000,24500000,31800000,29900000,35100000
"PG(32:1)",10237407.4677,10009840.4395,10929132.2771,11002761.486,10564261.495,13404696.261
"PG(34:1)",2.38e+08,2.16e+08,2.22e+08,2.3e+08,2.51e+08,2.27e+08
"PG(34:2)",12900000,14400000,13100000,13100000,13500000,14200000
"PG(36:1)",6.2e+07,25300000,23900000,62700000,57600000,66800000
"PG(36:2)",1.39e+08,1.35e+08,1.3e+08,1.39e+08,1.5e+08,1.47e+08
"PG(36:3)",3962442.678,3807446.936,3071062.49,3775567.904,3909915.924,4309620.356
"PG(36:4)",1106148.73,1130342.6646,1079065.024,1043104.623,1213969.1132,1081350.09
"PG(38:1)",2798048.822,2372279.545,2787636.932,3015256.034,3332954.051,3143651.48
"PG(38:2)",1273535.687,1753148.404,1551916.619,1234308.203,1382445.289,1397020.424
"PG(38:3)",2619011.482,4770532.424,4264955.717,4574698.874,4592737.762,4448588.627
"PG(38:4)",1793267.663,1793821.285,1515182.329,1252410.96,1755452.637,1810123.384
"PG(38:5)",10500000,11200000,10500000,8309751.176,12100000,12200000
"PG(38:6)",4184558.739,4179309.5004,4457356.6175,3364281.4657,4840481.716,4107932.5015
"PG(38:7)",303809.863,311747.681,150754.131,477577.337,195942.1557,502595.053
"PG(40:5)",2522889.101,3205974.153,2677241.34,2231211.987,2172974.815,2356345.736
"PG(40:6)",6013696.912,6638836.788,6748381.165,7155531.924,6832438.413,8647332.921
"PG(40:7)",53661829.7036,61051432.778,54780791.531,59012513.892,56668817.03,51721485.1204
"PG(40:8)",2509023.684,1661546.556,1269620.028,2128920.063,2421864.152,1386009.0285
"PG(40:9)",167673.401,164805.832,163468.018,136536.22,125418.583,137835.232
"PG(42:10)",2670000.26,3482134.264,1773906.4899,2509414.019,2659546.5268,1748856.1282
"PG(42:11)",855033.216,701985.666,638928.906,806798.806,662208.458,610633.656
"PG(42:8)",144890.865,257185.1535,147702.753,106281.361,83590.3716,82864.6518
"PG(42:9)",173245.3804,132825.334,155933.8928,176005.2382,149325.422,NA
"PG(44:10)",825982.455,683135.9937,310097.9818,812690.6597,704778.456,842327.095
"PG(44:11)",1626873.776,1648711.233,833712.387,1518708.634,1919638.416,1659980.211
"PG(44:12)",9954505.469,10200000,3795741.645,10800000,11200000,10500000
"PG(44:9)",46146.6765,41838.411,25950.406,40085.2353,10263.441,3482.2416
"PG(50:1)",16700000,13500000,12800000,15300000,16300000,1.5e+07
"PI(32:1)",97297.035,930470.2417,137331.9471,317020.0349,736801.1348,645437.9226
"PI(32:2)",90547.974,479308.509,24467.6274,154801.1043,230891.172,465183.828
"PI(34:1)",13201316.394,31769974.095,34917215.535,19886521.68,20139395.071,41893749.823
"PI(34:2)",6337307.714,1.1e+07,8061223.125,6062281.707,5605712.74,10500000
"PI(36:1)",1.93e+08,4.16e+08,4.47e+08,2.02e+08,1.78e+08,5.06e+08
"PI(36:2)",7150570.8224,8943149.8971,10199717.7844,7646394.5737,9268729.7045,18876420.1646
"PI(36:3)",6575001.536,10700000,9495423.294,6681078.526,7031129.804,11300000
"PI(36:4)",3534560.828,5074071.096,6602896.965,3013437.4224,3293286.044,8295129.3527
"PI(36:5)",762651.499,1083371.07,223681.5774,463944.4287,119642.4951,400528.0485
"PI(38:1)",555190.923,2373039.851,2302338.981,689682.693,873308.503,1884548.26
"PI(38:2)",6800502.103,11131922.841,11362603.222,7294873.846,6238402.587,13968173.308
"PI(38:3)",64241.0046,67685.7621,12332.5287,26041.8996,96098.193,37894.7409
"PI(38:4)",269545842.8483,427669328.7664,432177023.6051,308504101.2906,314239710.6372,446506017.842
"PI(38:5)",8.2e+07,103900000,121100000,92100000,8.3e+07,156500000
"PI(38:6)",2661757.319,3579573.78,3318250.883,2698037.955,2895758.523,5528439.571
"PI(40:3)",514433.416,1105891.494,1087796.145,486957.361,412660.011,1214962.064
"PI(40:4)",6234871.916,11731690.2601,11705520.233,7119218.6671,6493404.428,12731794.185
"PI(40:5)",21320164.3,31723835.138,26648361.307,24036874.17,21377453.806,37873631.845
"PI(40:6)",7193245.867,15024354.366,14258926.748,7220217.325,9499569.108,15462355.069
"PI(40:7)",12692.4438,32536.3029,14288.7231,5368.138,11603.978,9902.52
"PI(40:8)",265287.877,42216.5967,240876.308,149675.653,158866.9638,308425.306
"PS(34:1)",1626995.047,2673679.102,3883318.581,1404249.498,1515563.229,10600000
"PS(34:2)",1990056.7668,1805908.2335,1715822.0178,1693073.959,1544318.3724,2000781.7499
"PS(36:1)",1371126.241,26100000,23200000,6453146.329,7795119.671,71100000
"PS(36:2)",118083.1698,622897.5543,454427.1093,478083.5712,492277.0854,7358261.2111
"PS(36:3)",1213211.201,1208077.829,1048585.186,1061158.441,1045345.531,990488.85
"PS(38:3)",25089.9804,6051.303,13040.3685,45537.7674,31664.5512,35783.7936
"PS(38:4)",4372207.08,6422294.24,4590186.499,5425298.119,3892491.036,6189592.165
"PS(38:5)",83018.8137,733041.3696,1269111.013,540808.777,673343.6988,1681474.152
"PS(40:5)",1744836.403,12200000,8750654.188,3800504.804,4058920.589,29100000
